time/h	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone	47 nM S00GSTsmall	47 nM S00GSTsmal	47 nM S00GSTsmal	47 nM S00GSTsmal	94 nM S00GSTsmal	94 nM S00GSTsmal	94 nM S00GSTsmal	94 nM S00GSTsmal	187 nM S00GSTsmal	187 nM S00GSTsmal	187 nM S00GSTsmal	187 nM S00GSTsmal	375 nM S00GSTsmal	375 nM S00GSTsmal	375 nM S00GSTsmal	375 nM S00GSTsmal	750 nM S00GSTsmal	750 nM S00GSTsmal	750 nM S00GSTsmal	750 nM S00GSTsmal	1500 nM S00GSTsmal	1500 nM S00GSTsmal	1500 nM S00GSTsmal	1500 nM S00GSTsmal	3000 nM S00GSTsmal	3000 nM S00GSTsmal	3000 nM S00GSTsmal	3000 nM S00GSTsmal	Fit 0	Fit 47	Fit 94	Fit 187	Fit 375	Fit 750	Fit 1500	Fit 3000
0.0000	0.014040																																							
0.028889	0.0089624																																							
0.057778	0.018875																																							
0.086667	0.0088508	0.014117	0.014869																	0.012161																				
0.11556	0.0043687	0.0038694	0.014407																	0.00047291																				
0.14444	0.0034202	0.0034455	0.0069359																	0.0037607																				
0.17333	0.0091484	0.0023949	0.0052995	0.0047040	0.016551			0.0030797												0.0063054				0.018743																
0.20222	-0.0051534	0.0018051	0.0019910	-0.0014602	-0.012329			0.0031558												-0.00036031				0.0044713																
0.23111	0.0012257	-0.0024158	-0.0013530	0.00092889	-0.00037718			-0.00062406												-0.0016664				-0.0029529																
0.26000	-0.0076269	0.0031690	0.0056908	0.0043758	-0.0040449	0.0016763	0.0098279	0.0088636	0.0026961		0.0011097	0.010742		0.0068046	0.015956	0.0054900				-0.0031978				0.0072842																
0.28889	-0.0057857	-0.0023236	-0.0032385	0.0025338	0.016294	0.0044185	0.0032024	0.0037139	0.012955		0.0075897	-0.0056999		0.0057215	0.00050118	0.00031618				0.010021				0.0020734			0.014273	0.0059546				0.0065564								
0.31778	-0.00063410	0.0013811	-0.010923	-0.0035393	0.012114	0.0048583	-0.00047051	-0.0050635	0.0098156		-0.0010915	0.0012402		0.0020152	0.0010188	-0.0032767				-0.0020718				0.00057476			-0.0032238	0.0092165				0.0039911								
0.34667	-0.0028844	0.00099408	-0.0036476	-0.0047794	0.0037778	-0.0022041	-0.0076242	-0.00087774	0.010582		0.00068922	0.0089016	0.0054186	0.0057215	0.0015611	0.011239	0.0042467	0.0085984	0.0025076	-0.0038283				-0.0029067			0.0014926	-0.00071966				0.0052214								
0.37556	0.0011699	-0.0044433	-0.0033986	-0.0040134	-0.00076191	-0.0022817	-0.0098327	0.0048047	0.0013118	0.0071394	0.0011097	0.0035536	-0.0049393	-0.0090797	0.0058252	0.0031186	0.0079782	0.00059411	-0.00093609	-0.0043237				-0.00085473	0.0085283		0.0052708	0.012503	0.0074300			0.0016876								
0.40444	-0.0055625	0.00025681	-0.011136	-0.0018250	0.0044190	0.0033061	0.0035624	-0.010670	-0.0033356	0.0021671	0.0013570	-0.0077148	0.0048152	0.0061788	-0.00018897	0.0025438	0.0010588	0.00087497	0.0050903	-0.010472				-0.0041748	0.0076462		-0.0083713	-0.0046590	-0.0019833			0.0021326								
0.43333	-0.0079431	-0.0089406	-0.0073652	-0.0021897	0.00044356	-0.0019195	0.0051468	-0.0063826	-0.011592	-0.0079273	-0.0046778	-0.0068441	-0.0057940	-0.00019895	-0.0020622	0.0033821	0.00088584	0.0015771	0.0019724	-0.0068009	0.0073020	0.0043722	0.014481	-0.0016848	-0.0035613		-0.0022602	-0.0056125	0.0072350			0.0033891								
0.46222	-0.0059345	-0.0096778	-0.0071873	-0.0016426	0.020167	-0.0083869	0.0010418	-0.0039219	-0.0047941	-0.00073126	-0.0026497	0.0096976	-0.0037325	-0.0048680	0.0083147	0.0047953	0.0071133	-0.0041102	-0.0022391	-0.00076566	0.0050939	0.0017520	0.00058068	-0.00055500	0.0080613		0.0017462	-0.010882	0.0023613	0.0022839		-0.0064532								
0.49111	0.00053757	-0.0036323	-0.00094392	0.0020778	-0.012817	-0.0038080	-0.0023430	-0.0059514	0.0095189	0.0050655	-0.0085362	-0.0043567	0.0015721	0.0034111	-0.0039848	-0.0011689	-0.0028457	0.00082816	-0.0062878	-0.0053822	-0.00019585	0.0037900	0.0045953	-0.0013389	0.0051557		0.0055497	0.0011873	0.0038373	0.00066112		-0.0047780								
0.52000	-0.011086	-0.0059547	-0.0013530	0.0027891	0.00075134	0.0043409	-0.0025110	0.00033993	-0.0038547	0.0033415	0.0020001	-0.0073665	-0.0044113	-0.0081892	-0.0025306	0.0056576	-0.0019561	0.0021856	-0.0046590	-0.0024321	-0.00080247	0.0031349	-0.0043623	-0.0043593	0.0057264	0.015147	-0.0069006	0.0034455	0.0046728	0.0079936		-0.0021080								
0.54889	-0.0075897	-0.0033374	0.00046129	0.0014578	-0.014868	-0.0045582	0.0083156	-0.0093000	-0.0028659	0.0033415	0.0015054	-0.0055258	-0.010596	0.00028239	-0.0073370	-0.0083068	-0.0023020	-6.1212e-05	0.00092536	-0.0042337	-0.0042723	-0.0011836	0.0013083	-0.014320	0.0057264	-0.012391	0.0030647	-0.00097058	0.0014979	-0.0057397	-0.00035928	-0.0013489								
0.57778	-0.010398	-0.0049409	-0.0033630	0.00058238	-0.010560	0.012412	0.0016660	0.00097414	-0.0085268	-0.0032049	-0.0018830	0.0015138	0.0050164	-0.00017489	0.0043710	-0.011780	-0.0040072	-0.0018165	0.0016001	-0.0051570	0.0033711	-0.00043151	-0.0046885	-0.010930	-0.0072972	-0.0089551	0.0034705	-0.0050103	-0.0066900	0.013403	-0.00070895	-0.0038618								
