pH	charge
1.5	39.92062219980819,
1.57070707	39.9066317387409,
1.64141414	39.89018464435612,
1.71212121	39.870853069876745,
1.78282828	39.84813599906008,
1.85353535	39.821447245207864,
1.92424242	39.79010167754286,
1.99494949	39.75329948916952,
2.06565657	39.7101083329902,
2.13636364	39.65944318111146,
2.20707071	39.60004381674533,
2.27777778	39.53044995483018,
2.34848485	39.44897412044632,
2.41919192	39.353672607022,
2.48989899	39.24231510608337,
2.56060606	39.11235396512129,
2.63131313	38.96089450782375,
2.7020202	38.78466845539366,
2.77272727	38.58001322347424,
2.84343434	38.34286072327324,
2.91414141	38.06874022603708,
2.98484848	37.75280077310612,
3.05555556	37.3898593892239,
3.12626263	36.974481777829354,
3.1969697	36.50110197040328,
3.26767677	35.96418624761324,
3.33838384	35.35844423170829,
3.40909091	34.67908614228182,
3.47979798	33.92211979826996,
3.55050505	33.084674368280155,
3.62121212	32.165330885717665,
3.69191919	31.164433345460438,
3.76262626	30.084350221089025,
3.83333333	28.929655809436596,
3.9040404	27.707204677068937,
3.97474747	26.426080463719583,
4.04545455	25.097411190490725,
4.11616162	23.73405516790602,
4.18686869	22.35017276069954,
4.25757576	20.960708473037837,
4.32828283	19.580814798807772,
4.3989899	18.22525430064181,
4.46969697	16.907819528483873,
4.54040404	15.640811063973324,
4.61111111	14.43461101291337,
4.68181818	13.297381679959878,
4.75252525	12.234907041881671,
4.82323232	11.250579586031659,
4.89393939	10.34551984502222,
4.96464646	9.51880348944583,
5.03535354	8.767763285833556,
5.10606061	8.088331334263117,
5.17676768	7.475390118967685,
5.24747475	6.923107453189283,
5.31818182	6.425238489058664,
5.38888889	5.975385925595688,
5.45959596	5.567216218365241,
5.53030303	5.1946343658438465,
5.6010101	4.851922574452555,
5.67171717	4.5338489529703985,
5.74242424	4.235751704969848,
5.81313131	3.9536025216554282,
5.88383838	3.684050538970668,
5.95454545	3.4244458767138237,
6.02525253	3.172840013843164,
6.0959596	2.927959616362049,
6.16666667	2.689151293058149,
6.23737374	2.456297160007452,
6.30808081	2.229704670864024,
6.37878788	2.0099781287456686,
6.44949495	1.797882615611357,
6.52020202	1.5942128087311644,
6.59090909	1.3996787500730612,
6.66161616	1.2148181336331625,
6.73232323	1.0399406841104941,
6.8030303	0.8751056573680245,
6.87373737	0.7201293457786377,
6.94444444	0.5746163997299334,
7.01515152	0.43800706827927627,
7.08585859	0.30963205053600973,
7.15656566	0.1887672533672351,
7.22727273	0.07468203192732403,
7.2979798	-0.03332383960734475,
7.36868687	-0.13589736030874633,
7.43939394	-0.2336246467546914,
7.51010101	-0.32703760676517746,
7.58080808	-0.4166325669908737,
7.65151515	-0.5028973688026142,
7.72222222	-0.5863429338457884,
7.79292929	-0.6675354426499958,
7.86363636	-0.747125989529632,
7.93434343	-0.8258756714166289,
8.00505051	-0.9046752659459472,
8.07575758	-0.9845596954324023,
8.14646465	-1.0667181769705216,
8.21717172	-1.1525012517056226,
8.28787879	-1.2434257943254607,
8.35858586	-1.3411787175778151,
8.42929293	-1.4476195217364847,
8.5	-1.5647812066023086]
