"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.3078e+03","9.9133e-14","1.0000e-13","2.0001e-06","2.0023e-06","1.0000e+00","7.1870e-01","2.7516e-02"," 5.04 %"
"5.2631e+03","9.9133e-14","1.0000e-13","1.6370e-06","1.6388e-06","1.1429e+00","7.1870e-01","1.7699e-04"," 0.03 %"
"6.2801e+03","9.9133e-14","1.0000e-13","1.3719e-06","1.3734e-06","1.2857e+00","7.1870e-01","6.1462e-05"," 0.01 %"
"7.3554e+03","9.9133e-14","1.0000e-13","1.1714e-06","1.1727e-06","1.4286e+00","7.1870e-01","2.4706e-04"," 0.05 %"
"8.4858e+03","9.9133e-14","1.0000e-13","1.0153e-06","1.0164e-06","1.5714e+00","7.1870e-01","5.4835e-05"," 0.01 %"
"9.6689e+03","9.9133e-14","1.0000e-13","8.9109e-07","8.9207e-07","1.7143e+00","7.1870e-01","2.6727e-05"," 0.00 %"
"6.0067e+03","1.2373e-13","1.2481e-13","1.7903e-06","1.7922e-06","1.0000e+00","7.1870e-01","4.1581e-02"," 7.61 %"
"7.3388e+03","1.2373e-13","1.2481e-13","1.4653e-06","1.4669e-06","1.1429e+00","7.1870e-01","3.6813e-04"," 0.07 %"
"8.7570e+03","1.2373e-13","1.2481e-13","1.2280e-06","1.2294e-06","1.2857e+00","7.1870e-01","2.5256e-05"," 0.00 %"
"1.0256e+04","1.2373e-13","1.2481e-13","1.0485e-06","1.0496e-06","1.4286e+00","7.1870e-01","2.1455e-05"," 0.00 %"
"1.1833e+04","1.2373e-13","1.2481e-13","9.0881e-07","9.0982e-07","1.5714e+00","7.1870e-01","6.6006e-05"," 0.01 %"
"1.3482e+04","1.2373e-13","1.2481e-13","7.9761e-07","7.9850e-07","1.7143e+00","7.1870e-01","1.8208e-05"," 0.00 %"
"1.5202e+04","1.2373e-13","1.2481e-13","7.0737e-07","7.0816e-07","1.8571e+00","7.1870e-01","5.1816e-05"," 0.01 %"
"1.6990e+04","1.2373e-13","1.2481e-13","6.3295e-07","6.3365e-07","2.0000e+00","7.1870e-01","2.0717e-06"," 0.00 %"
"7.8841e+03","1.4833e-13","1.4962e-13","1.6351e-06","1.6369e-06","1.0000e+00","7.1870e-01","2.1333e-02"," 3.91 %"
"9.6326e+03","1.4833e-13","1.4962e-13","1.3383e-06","1.3398e-06","1.1429e+00","7.1870e-01","5.8335e-04"," 0.11 %"
"1.1494e+04","1.4833e-13","1.4962e-13","1.1216e-06","1.1228e-06","1.2857e+00","7.1870e-01","1.5472e-04"," 0.03 %"
"1.3462e+04","1.4833e-13","1.4962e-13","9.5762e-07","9.5867e-07","1.4286e+00","7.1870e-01","4.7480e-05"," 0.01 %"
"1.7696e+04","1.4833e-13","1.4962e-13","7.2848e-07","7.2929e-07","1.7143e+00","7.1870e-01","3.7382e-05"," 0.01 %"
"1.9954e+04","1.4833e-13","1.4962e-13","6.4607e-07","6.4678e-07","1.8571e+00","7.1870e-01","3.1017e-05"," 0.01 %"
"2.2300e+04","1.4833e-13","1.4962e-13","5.7809e-07","5.7873e-07","2.0000e+00","7.1870e-01","7.8537e-05"," 0.01 %"
"9.9244e+03","1.7292e-13","1.7444e-13","1.5144e-06","1.5160e-06","1.0000e+00","7.1870e-01","3.3671e-03"," 0.62 %"
"1.4469e+04","1.7292e-13","1.7444e-13","1.0388e-06","1.0399e-06","1.2857e+00","7.1870e-01","6.8439e-05"," 0.01 %"
"1.6946e+04","1.7292e-13","1.7444e-13","8.8690e-07","8.8788e-07","1.4286e+00","7.1870e-01","2.2487e-05"," 0.00 %"
