"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"7.9139e+03","1.4869e-13","1.5000e-13","1.6330e-06","1.6349e-06","1.0000e+00","7.1870e-01","3.7997e-05"," 0.01 %"
"9.9726e+03","1.4869e-13","1.5000e-13","1.2959e-06","1.2974e-06","1.1667e+00","7.1870e-01","2.1989e-05"," 0.00 %"
"1.0382e+04","1.7820e-13","1.7976e-13","1.4917e-06","1.4934e-06","1.0000e+00","7.1870e-01","4.3305e-05"," 0.01 %"
"1.5984e+04","1.7820e-13","1.7976e-13","9.6889e-07","9.7000e-07","1.3333e+00","7.1870e-01","2.5466e-05"," 0.01 %"
"4.1039e+04","1.7820e-13","1.7976e-13","3.7737e-07","3.7781e-07","2.5000e+00","7.1870e-01","1.3263e-05"," 0.00 %"
"1.3064e+04","2.0769e-13","2.0952e-13","1.3817e-06","1.3833e-06","1.0000e+00","7.1870e-01","7.1815e-04"," 0.15 %"
"1.6463e+04","2.0769e-13","2.0952e-13","1.0965e-06","1.0977e-06","1.1667e+00","7.1870e-01","1.7691e-04"," 0.04 %"
"2.4001e+04","2.0769e-13","2.0952e-13","7.5211e-07","7.5297e-07","1.5000e+00","7.1870e-01","5.0503e-06"," 0.00 %"
"3.6952e+04","2.0769e-13","2.0952e-13","4.8851e-07","4.8907e-07","2.0000e+00","7.1870e-01","4.7614e-06"," 0.00 %"
"4.1665e+04","2.0769e-13","2.0952e-13","4.3324e-07","4.3374e-07","2.1667e+00","7.1870e-01","6.2870e-05"," 0.01 %"
"4.6564e+04","2.0769e-13","2.0952e-13","3.8766e-07","3.8810e-07","2.3333e+00","7.1870e-01","7.4473e-05"," 0.02 %"
"5.1641e+04","2.0769e-13","2.0952e-13","3.4955e-07","3.4995e-07","2.5000e+00","7.1870e-01","1.9904e-04"," 0.04 %"
"1.5944e+04","2.3720e-13","2.3928e-13","1.2929e-06","1.2944e-06","1.0000e+00","7.1870e-01","4.3771e-02"," 9.21 %"
"2.0092e+04","2.3720e-13","2.3928e-13","1.0260e-06","1.0272e-06","1.1667e+00","7.1870e-01","1.7235e-04"," 0.04 %"
"2.4548e+04","2.3720e-13","2.3928e-13","8.3978e-07","8.4075e-07","1.3333e+00","7.1870e-01","2.6070e-05"," 0.01 %"
"3.9579e+04","2.3720e-13","2.3928e-13","5.2085e-07","5.2145e-07","1.8333e+00","7.1870e-01","2.3090e-05"," 0.00 %"
"4.5098e+04","2.3720e-13","2.3928e-13","4.5712e-07","4.5764e-07","2.0000e+00","7.1870e-01","1.4205e-05"," 0.00 %"
"5.6829e+04","2.3720e-13","2.3928e-13","3.6275e-07","3.6317e-07","2.3333e+00","7.1870e-01","1.5648e-05"," 0.00 %"
"6.3026e+04","2.3720e-13","2.3928e-13","3.2709e-07","3.2746e-07","2.5000e+00","7.1870e-01","1.7938e-05"," 0.00 %"
"1.9010e+04","2.6670e-13","2.6904e-13","1.2193e-06","1.2207e-06","1.0000e+00","7.1870e-01","5.3504e-04"," 0.11 %"
"2.3955e+04","2.6670e-13","2.6904e-13","9.6761e-07","9.6872e-07","1.1667e+00","7.1870e-01","5.4679e-06"," 0.00 %"
"4.7188e+04","2.6670e-13","2.6904e-13","4.9120e-07","4.9176e-07","1.8333e+00","7.1870e-01","1.9129e-05"," 0.00 %"
"5.3767e+04","2.6670e-13","2.6904e-13","4.3110e-07","4.3159e-07","2.0000e+00","7.1870e-01","3.3409e-06"," 0.00 %"
"2.2249e+04","2.9620e-13","2.9880e-13","1.1570e-06","1.1583e-06","1.0000e+00","7.1870e-01","2.3053e-05"," 0.00 %"
"5.5231e+04","2.9620e-13","2.9880e-13","4.6610e-07","4.6663e-07","1.8333e+00","7.1870e-01","9.8248e-07"," 0.00 %"
"8.7948e+04","2.9620e-13","2.9880e-13","2.9270e-07","2.9304e-07","2.5000e+00","7.1870e-01","9.2928e-07"," 0.00 %"
"3.6819e+04","3.5520e-13","3.5832e-13","8.3844e-07","8.3940e-07","1.1667e+00","7.1870e-01","2.0417e-05"," 0.00 %"
"1.1550e+05","3.5520e-13","3.5832e-13","2.6729e-07","2.6760e-07","2.5000e+00","7.1870e-01","8.4269e-06"," 0.00 %"
"3.2933e+04","3.8470e-13","3.8808e-13","1.0152e-06","1.0164e-06","1.0000e+00","7.1870e-01","7.5193e-06"," 0.00 %"
"4.0792e+04","4.4370e-13","4.4760e-13","9.4533e-07","9.4642e-07","1.0000e+00","7.1870e-01","7.8021e-06"," 0.00 %"
"4.4928e+04","4.7320e-13","4.7736e-13","9.1539e-07","9.1644e-07","1.0000e+00","7.1870e-01","7.4690e-07"," 0.00 %"
"5.6615e+04","4.7320e-13","4.7736e-13","7.2642e-07","7.2725e-07","1.1667e+00","7.1870e-01","6.6580e-06"," 0.00 %"
"1.4329e+05","4.7320e-13","4.7736e-13","2.8702e-07","2.8735e-07","2.1667e+00","7.1870e-01","1.2005e-07"," 0.00 %"
