"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.3078e+03","9.9143e-14","1.0000e-13","2.0003e-06","2.0023e-06","1.0000e+00","7.1870e-01","3.0004e-05"," 0.01 %"
"6.2801e+03","9.9143e-14","1.0000e-13","1.3721e-06","1.3734e-06","1.2857e+00","7.1870e-01","6.1751e-05"," 0.01 %"
"7.3554e+03","9.9143e-14","1.0000e-13","1.1715e-06","1.1727e-06","1.4286e+00","7.1870e-01","7.5122e-05"," 0.02 %"
"8.4858e+03","9.9143e-14","1.0000e-13","1.0154e-06","1.0164e-06","1.5714e+00","7.1870e-01","2.0438e-05"," 0.00 %"
"9.6689e+03","9.9143e-14","1.0000e-13","8.9119e-07","8.9207e-07","1.7143e+00","7.1870e-01","3.4634e-05"," 0.01 %"
"7.3388e+03","1.2374e-13","1.2481e-13","1.4655e-06","1.4669e-06","1.1429e+00","7.1870e-01","6.9152e-05"," 0.01 %"
"8.7570e+03","1.2374e-13","1.2481e-13","1.2281e-06","1.2294e-06","1.2857e+00","7.1870e-01","2.8900e-04"," 0.06 %"
"1.0256e+04","1.2374e-13","1.2481e-13","1.0486e-06","1.0496e-06","1.4286e+00","7.1870e-01","1.6160e-03"," 0.33 %"
"1.1833e+04","1.2374e-13","1.2481e-13","9.0892e-07","9.0982e-07","1.5714e+00","7.1870e-01","1.2017e-04"," 0.02 %"
"1.3482e+04","1.2374e-13","1.2481e-13","7.9771e-07","7.9850e-07","1.7143e+00","7.1870e-01","1.3806e-04"," 0.03 %"
"1.6990e+04","1.2374e-13","1.2481e-13","6.3303e-07","6.3365e-07","2.0000e+00","7.1870e-01","1.0161e-04"," 0.02 %"
"7.8841e+03","1.4834e-13","1.4962e-13","1.6353e-06","1.6369e-06","1.0000e+00","7.1870e-01","3.6718e-04"," 0.08 %"
"9.6326e+03","1.4834e-13","1.4962e-13","1.3385e-06","1.3398e-06","1.1429e+00","7.1870e-01","2.2217e-03"," 0.46 %"
"1.1494e+04","1.4834e-13","1.4962e-13","1.1217e-06","1.1228e-06","1.2857e+00","7.1870e-01","1.0447e-02"," 2.14 %"
