"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"7.9139e+03","1.4870e-13","1.5000e-13","1.6331e-06","1.6349e-06","1.0000e+00","7.1870e-01","4.7932e-05"," 0.01 %"
"9.9726e+03","1.4870e-13","1.5000e-13","1.2960e-06","1.2974e-06","1.1667e+00","7.1870e-01","1.2382e-05"," 0.00 %"
"1.2184e+04","1.4870e-13","1.5000e-13","1.0607e-06","1.0619e-06","1.3333e+00","7.1870e-01","1.6468e-05"," 0.00 %"
"1.4539e+04","1.4870e-13","1.5000e-13","8.8895e-07","8.8990e-07","1.5000e+00","7.1870e-01","2.6116e-06"," 0.00 %"
"1.0382e+04","1.7821e-13","1.7976e-13","1.4918e-06","1.4934e-06","1.0000e+00","7.1870e-01","3.4005e-04"," 0.07 %"
"1.3083e+04","1.7821e-13","1.7976e-13","1.1838e-06","1.1851e-06","1.1667e+00","7.1870e-01","2.3590e-04"," 0.05 %"
"1.5984e+04","1.7821e-13","1.7976e-13","9.6896e-07","9.7000e-07","1.3333e+00","7.1870e-01","6.2900e-05"," 0.01 %"
"1.9073e+04","1.7821e-13","1.7976e-13","8.1204e-07","8.1291e-07","1.5000e+00","7.1870e-01","2.5118e-06"," 0.00 %"
"1.3064e+04","2.0771e-13","2.0952e-13","1.3818e-06","1.3833e-06","1.0000e+00","7.1870e-01","1.8743e-02"," 4.09 %"
"1.6463e+04","2.0771e-13","2.0952e-13","1.0965e-06","1.0977e-06","1.1667e+00","7.1870e-01","2.3839e-04"," 0.05 %"
"2.0114e+04","2.0771e-13","2.0952e-13","8.9751e-07","8.9847e-07","1.3333e+00","7.1870e-01","1.3992e-05"," 0.00 %"
"3.2430e+04","2.0771e-13","2.0952e-13","5.5665e-07","5.5725e-07","1.8333e+00","7.1870e-01","8.1776e-06"," 0.00 %"
"3.6952e+04","2.0771e-13","2.0952e-13","4.8854e-07","4.8907e-07","2.0000e+00","7.1870e-01","1.2170e-07"," 0.00 %"
"4.6564e+04","2.0771e-13","2.0952e-13","3.8769e-07","3.8810e-07","2.3333e+00","7.1870e-01","2.0983e-05"," 0.00 %"
"5.1641e+04","2.0771e-13","2.0952e-13","3.4957e-07","3.4995e-07","2.5000e+00","7.1870e-01","4.6774e-06"," 0.00 %"
"1.5944e+04","2.3721e-13","2.3928e-13","1.2930e-06","1.2944e-06","1.0000e+00","7.1870e-01","7.6313e-03"," 1.67 %"
"2.0092e+04","2.3721e-13","2.3928e-13","1.0261e-06","1.0272e-06","1.1667e+00","7.1870e-01","6.1279e-05"," 0.01 %"
"3.4307e+04","2.3721e-13","2.3928e-13","6.0094e-07","6.0159e-07","1.6667e+00","7.1870e-01","1.2743e-06"," 0.00 %"
"1.9010e+04","2.6671e-13","2.6904e-13","1.2194e-06","1.2207e-06","1.0000e+00","7.1870e-01","1.6481e-04"," 0.04 %"
"2.3955e+04","2.6671e-13","2.6904e-13","9.6768e-07","9.6872e-07","1.1667e+00","7.1870e-01","1.1863e-05"," 0.00 %"
"3.4923e+04","2.6671e-13","2.6904e-13","6.6377e-07","6.6448e-07","1.5000e+00","7.1870e-01","1.5727e-05"," 0.00 %"
"5.3767e+04","2.6671e-13","2.6904e-13","4.3113e-07","4.3159e-07","2.0000e+00","7.1870e-01","1.1742e-05"," 0.00 %"
"2.2249e+04","2.9621e-13","2.9880e-13","1.1571e-06","1.1583e-06","1.0000e+00","7.1870e-01","2.0271e-05"," 0.00 %"
"2.8037e+04","2.9621e-13","2.9880e-13","9.1823e-07","9.1921e-07","1.1667e+00","7.1870e-01","7.2459e-07"," 0.00 %"
"3.4255e+04","2.9621e-13","2.9880e-13","7.5156e-07","7.5236e-07","1.3333e+00","7.1870e-01","1.8834e-05"," 0.00 %"
"7.9302e+04","2.9621e-13","2.9880e-13","3.2464e-07","3.2499e-07","2.3333e+00","7.1870e-01","4.7870e-06"," 0.00 %"
"3.2329e+04","3.2572e-13","3.2856e-13","8.7565e-07","8.7660e-07","1.1667e+00","7.1870e-01","1.1449e-05"," 0.00 %"
"3.9498e+04","3.2572e-13","3.2856e-13","7.1671e-07","7.1748e-07","1.3333e+00","7.1870e-01","8.5413e-06"," 0.00 %"
"2.9218e+04","3.5522e-13","3.5832e-13","1.0566e-06","1.0578e-06","1.0000e+00","7.1870e-01","2.6246e-06"," 0.00 %"
"4.1500e+04","3.8472e-13","3.8808e-13","8.0571e-07","8.0658e-07","1.1667e+00","7.1870e-01","9.9547e-06"," 0.00 %"
"5.0703e+04","3.8472e-13","3.8808e-13","6.5946e-07","6.6017e-07","1.3333e+00","7.1870e-01","1.4515e-06"," 0.00 %"
"8.1750e+04","3.8472e-13","3.8808e-13","4.0901e-07","4.0945e-07","1.8333e+00","7.1870e-01","8.6173e-06"," 0.00 %"
