"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"6.2801e+03","9.9161e-14","1.0000e-13","1.3724e-06","1.3734e-06","1.2857e+00","7.1870e-01","1.9728e-04"," 0.05 %"
"6.0067e+03","1.2376e-13","1.2481e-13","1.7909e-06","1.7922e-06","1.0000e+00","7.1870e-01","8.4775e-04"," 0.20 %"
"7.3388e+03","1.2376e-13","1.2481e-13","1.4658e-06","1.4669e-06","1.1429e+00","7.1870e-01","4.3912e-04"," 0.10 %"
"8.7570e+03","1.2376e-13","1.2481e-13","1.2284e-06","1.2294e-06","1.2857e+00","7.1870e-01","3.3607e-04"," 0.08 %"
"1.0256e+04","1.2376e-13","1.2481e-13","1.0488e-06","1.0496e-06","1.4286e+00","7.1870e-01","1.0389e-03"," 0.24 %"
"1.1833e+04","1.2376e-13","1.2481e-13","9.0912e-07","9.0982e-07","1.5714e+00","7.1870e-01","6.4895e-04"," 0.15 %"
"1.3482e+04","1.2376e-13","1.2481e-13","7.9788e-07","7.9850e-07","1.7143e+00","7.1870e-01","1.9269e-04"," 0.05 %"
"1.5202e+04","1.2376e-13","1.2481e-13","7.0761e-07","7.0816e-07","1.8571e+00","7.1870e-01","4.9575e-04"," 0.12 %"
"7.8841e+03","1.4837e-13","1.4962e-13","1.6357e-06","1.6369e-06","1.0000e+00","7.1870e-01","5.2785e-04"," 0.12 %"
"9.6326e+03","1.4837e-13","1.4962e-13","1.3388e-06","1.3398e-06","1.1429e+00","7.1870e-01","2.1632e-02"," 5.09 %"
"1.1494e+04","1.4837e-13","1.4962e-13","1.1220e-06","1.1228e-06","1.2857e+00","7.1870e-01","7.1506e-03"," 1.68 %"
"1.3462e+04","1.4837e-13","1.4962e-13","9.5794e-07","9.5867e-07","1.4286e+00","7.1870e-01","2.5969e-03"," 0.61 %"
"1.5531e+04","1.4837e-13","1.4962e-13","8.3033e-07","8.3096e-07","1.5714e+00","7.1870e-01","1.0570e-03"," 0.25 %"
"1.7696e+04","1.4837e-13","1.4962e-13","7.2873e-07","7.2929e-07","1.7143e+00","7.1870e-01","1.0358e-03"," 0.24 %"
"1.9954e+04","1.4837e-13","1.4962e-13","6.4628e-07","6.4678e-07","1.8571e+00","7.1870e-01","2.1234e-04"," 0.05 %"
"2.2300e+04","1.4837e-13","1.4962e-13","5.7829e-07","5.7873e-07","2.0000e+00","7.1870e-01","8.8202e-05"," 0.02 %"
"9.9244e+03","1.7297e-13","1.7444e-13","1.5149e-06","1.5160e-06","1.0000e+00","7.1870e-01","6.6009e-02","15.52 %"
