frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.310611402118448723e+02,1.391067124864615501e+01,-1.622299264213675554e-02,4.473693541133731628e+02,1.543794619486216213e-02,nan,2.245009053314553071e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.971525475042101760e+01,1.975811764434449813e+01,-1.401735792892106792e-02,3.862020471641621953e+02,1.644881174145207403e-02,nan,2.100108293315630803e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.939567070343868238e+01,2.241374529590410347e+01,-1.494696298988892457e-03,3.891993233816906184e+01,3.540472501063341992e-01,nan,2.131545904914046830e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.983268709774206684e+01,2.652043883621004383e+01,-1.244600430136234793e-03,3.198420055757111058e+01,2.725912375411009281e-01,nan,1.559366945344579847e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.427924017056128392e+01,2.763973133895418144e+01,-1.791375577768921246e-03,4.714752886712972213e+01,2.714473742952397961e-01,nan,1.559366945344579847e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.384815888034360398e+02,3.509895828762085301e+01,-1.776815770413297342e-03,4.674375203123453559e+01,2.628432117375779642e-01,nan,2.245009053314553071e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.483639973097027109e+01,4.779852584203587895e+01,-3.371767952789819084e-02,9.325371275029910976e+02,1.107556742512683101e-02,nan,2.212487484451845887e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.062800369145763000e+02,1.824789152506606271e+01,-1.919065409753830873e-02,5.296694095469573540e+02,1.694982217520013545e-02,nan,1.332304449988292738e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.499964429005200373e+01,3.869063608994365211e+01,-1.782386271379766268e-02,4.917651511473818573e+02,1.605659176126950083e-02,nan,1.420559376927570128e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.378372840245406650e+01,2.374423555154046639e+01,-3.243656914073342334e-02,8.970089995595918708e+02,1.221538207885219940e-02,nan,1.868667060372314737e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.162101842768789481e+02,4.902891196307601263e+01,-1.625193447195033558e-02,4.481719774023845275e+02,1.236420552469064127e-02,nan,2.332559303288093133e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.316417827309970505e+02,1.851691188937118682e+01,-3.419436701799179884e-02,9.457567643951283571e+02,8.057823678771169895e-03,nan,2.536317256995161884e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.360816644886564575e+01,2.236216104055855070e+01,-1.679225206140815690e-02,4.631562228199947526e+02,1.454433160908163991e-02,nan,1.332304449988292738e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.684731531805887528e+01,2.168839960600671546e+01,-2.706782620744500878e-02,7.481214503365913515e+02,9.186142318556189679e-03,nan,1.518181209921585406e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.190010729436083636e+01,7.390906320274083896e+00,-4.664415685226806080e-02,1.291017977271166728e+03,8.009763618297527366e-03,nan,1.772274330009020105e+01,1.000000000000000000e+00
1.600000000000000000e+01,9.717504294568597345e+01,3.554756615351039528e+01,-1.824754173366986351e-02,5.035147416399439635e+02,1.505794347840117009e-02,nan,1.365933804897682080e+01,1.000000000000000000e+00
1.700000000000000000e+01,2.861423029018634523e+01,3.128147683151778935e+01,-6.168305220646232157e-02,1.708081021661648492e+03,1.253326315843839023e-02,nan,1.215939390840617129e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.721050548807132685e+01,2.695663774121872791e+01,-2.045015200911009731e-02,5.645981739962081747e+02,1.286637361719067396e-02,nan,1.838690220159946520e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.062973861338839043e+02,7.784437783989967663e+00,-2.889434427616520418e-02,7.987749836203516907e+02,1.215664044268682797e-02,nan,1.406783328275168188e+01,1.000000000000000000e+00
2.000000000000000000e+01,3.894293747121847815e+01,2.486519533922956882e+01,-1.733181751231334389e-02,4.781196097112853067e+02,1.372876994090088676e-02,nan,1.215939390840617129e+01,1.000000000000000000e+00
2.300000000000000000e+01,9.180735737095025684e+01,2.268162267988441272e+01,-3.286079549295399527e-02,9.087737688329171988e+02,4.670022565944753623e-02,nan,7.280741516762497589e+00,1.000000000000000000e+00
2.300000000000000000e+01,1.007264826484332048e+02,2.376551684354135929e+01,-3.420319624163527250e-02,9.460016190074935594e+02,2.599475700303055525e-02,nan,8.984743862428402394e+00,1.000000000000000000e+00
2.300000000000000000e+01,9.256953644934046110e+01,4.069832630610135737e+01,-2.949768183261954752e-02,8.155069171941686363e+02,1.053710794992634980e-02,nan,1.460653598575186507e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.635634392757393130e+01,3.230238691536886364e+01,-2.082779745858480761e-03,5.522883448360988012e+01,1.767976704309334179e-01,nan,9.668914630095615692e+00,1.000000000000000000e+00
2.400000000000000000e+01,1.721865901310041735e+01,5.293603231768742035e+01,-7.167289694398407997e-03,1.962339514439019013e+02,3.911440555939760255e-02,nan,3.549529776177415386e+01,1.000000000000000000e+00
2.400000000000000000e+01,9.496646766171151910e+01,1.612195659046222573e+01,-3.121972559982721940e-02,8.632631385927691099e+02,4.950849595642503598e-02,nan,7.280741516762497589e+00,1.000000000000000000e+00
2.500000000000000000e+01,1.317126696428245225e+02,1.302007530860353945e+01,-1.459256678760720728e-03,3.793711042497039188e+01,3.006927859742765108e-01,nan,1.782046543378786652e+01,1.000000000000000000e+00
2.700000000000000000e+01,7.800685821574057854e+01,4.182938606035857987e+01,-2.738167468606022593e-03,7.340423849218970531e+01,1.557440294080221221e-01,nan,9.668914630095615692e+00,1.000000000000000000e+00
2.700000000000000000e+01,1.022427126442795142e+01,1.799988027970161752e+01,-1.089597025024758832e-03,2.768560079315065536e+01,3.236092562980480425e-01,nan,2.815466085114909234e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.196238429135887884e+02,5.236198315117103874e+01,-1.958819350037037388e-02,5.406940885347045196e+02,1.561447135905436046e-02,nan,3.771734070788482995e+00,1.000000000000000000e+00
3.000000000000000000e+01,1.359256512909949492e+02,3.033537992356793467e+01,-6.864566059169428802e-03,1.878387310541051249e+02,4.517001813440801872e-02,nan,1.782046543378786652e+01,1.000000000000000000e+00
