frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.323370578018736232e+01,1.205634523549362136e+01,-4.673628924609325719e-02,1.293573019762702188e+03,1.187989636315289754e-02,nan,7.579553977933493947e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.538663807118805948e+01,3.645950922723748278e+01,-1.069640408549231946e-02,2.941043838983304113e+02,9.533269816726386292e-02,nan,1.669314638055704592e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.877228952582787258e+01,3.807955814501517011e+01,-9.263248067490756008e-03,2.543596820517567778e+02,7.611529428093477545e-02,nan,1.168055386511259819e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.257860135224354394e+02,4.944619379415525984e+00,-2.261404165939784328e-02,6.246077946511164782e+02,1.107742564830094256e-02,nan,1.411406763287416588e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.504774581035243841e+01,1.173453399928922813e+01,-1.449787918253760697e-03,3.767451998926158296e+01,3.176170765644631411e-01,nan,1.614665813812884920e+01,1.000000000000000000e+00
9.000000000000000000e+00,8.972450054852954793e+01,1.846561410466595277e+01,-1.106787839003331095e-02,3.044062179570064473e+02,2.197068405674906799e-02,nan,1.614665813812884920e+01,1.000000000000000000e+00
9.000000000000000000e+00,3.847731347268600643e+01,3.582422951429482794e+01,-2.746419331961933580e-02,7.591136190169581823e+02,9.891282779750487641e-03,nan,9.978754654007449432e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.119068603620038544e+02,7.508993122579362023e+00,-1.924701059909655204e-02,5.312323045307648499e+02,9.007321076554553052e-03,nan,1.411406763287416588e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.226582355452161437e+02,1.871737555649986717e+01,-2.862612044476191622e-02,7.913365218804118513e+02,9.722993404999824563e-03,nan,1.412344886308556369e+01,1.000000000000000000e+00
1.000000000000000000e+01,9.290019740360738965e+00,5.583557665699285799e+00,-1.190235340218601633e-02,3.275481230530564858e+02,1.733179110741767115e-02,nan,7.579553977933493947e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.066875027185871119e+02,3.644201667876372852e+01,-2.093663213648484268e-03,5.553065799545170478e+01,1.886027725076553363e-01,nan,1.165727025160320984e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.067941828827837440e+02,4.809879878453718050e+01,-4.035198170171428421e-03,1.093738732507642055e+02,1.051584577003211729e-01,nan,1.165727025160320984e+01,1.000000000000000000e+00
1.300000000000000000e+01,4.292500103939219258e+01,4.475695696753342645e+01,-2.213137565332679371e-02,6.112223598053554952e+02,1.561793610390993514e-02,nan,9.978754654007449432e+00,1.000000000000000000e+00
1.300000000000000000e+01,9.427338079619056543e+01,5.024457560106359466e+01,-1.590734760237612561e-03,4.158329903390165327e+01,2.426913437093489723e-01,nan,7.804229082434890330e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.619220233672296771e+01,2.144187962045189977e+01,-1.840130946900349514e-03,4.849962702337256815e+01,2.699784409880566782e-01,nan,9.327392286956410317e+00,1.000000000000000000e+00
1.500000000000000000e+01,7.625279811442962341e+01,4.967918174550395349e+01,-1.966406117887156690e-02,5.427980731839307964e+02,1.002761958859832436e-02,nan,1.370437882128568141e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.796452925625523989e+01,1.286305547268035632e+01,-2.346593603954387052e-03,6.254499755400396310e+01,1.359751678712738387e-01,nan,1.607704003725546826e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.585697912022105527e+01,4.074962709160570284e+01,-1.150152815020041679e-02,3.164323199355706038e+02,2.530464961801959234e-02,nan,1.290489041752968191e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.857468949648166756e+01,5.340990687450540975e+01,-6.725889859915660900e-03,1.839929221377509521e+02,7.144392314742997740e-02,nan,1.033404672694760507e+01,1.000000000000000000e+00
1.700000000000000000e+01,2.465589149670407565e+01,1.752190351363795529e+01,-1.208194075080933592e-02,3.325284919290169796e+02,2.062905058375352763e-02,nan,9.327392286956410317e+00,1.000000000000000000e+00
1.700000000000000000e+01,9.109076445166220992e+01,1.998983775958213371e+01,-1.326810964514910963e-02,3.654236746258409880e+02,1.425118551325110783e-02,nan,1.025953640966892699e+01,1.000000000000000000e+00
1.700000000000000000e+01,3.248041096712872644e+01,4.465636850880082420e+01,-5.480365275643163739e-03,1.494516700879451889e+02,5.038723451603388526e-02,nan,1.044507442844017042e+01,1.000000000000000000e+00
1.800000000000000000e+01,8.107693418564542753e+01,2.222171829955927436e+01,-1.975339073474843138e-02,5.452753865537365527e+02,1.060233021233081274e-02,nan,1.025953640966892699e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.008995242984943559e+02,4.612144404143567300e+01,-2.384435351296087038e-02,6.587271628036177162e+02,1.030385956178758722e-02,nan,7.804229082434890330e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.715141094701412783e+01,8.490603132271191456e+00,-2.522276649267787135e-02,6.969537147017791767e+02,1.423680536591021006e-02,nan,1.174230023884375740e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.225226854540439518e+02,2.161136493706551676e+01,-1.630706500232096193e-03,4.269180701796942401e+01,2.480136181238433712e-01,nan,1.904702698633824909e+01,1.000000000000000000e+00
1.900000000000000000e+01,9.961226578692444988e+00,3.326858650221743119e+01,-2.268091215398836472e-02,6.264622667647245180e+02,9.404377683182474357e-03,nan,1.179875724626959688e+01,1.000000000000000000e+00
2.000000000000000000e+01,3.651647207888657221e+01,3.257512375655819170e+01,-1.623817730885157226e-02,4.477904597317701700e+02,1.343031569360864097e-02,nan,1.028290460940648643e+01,1.000000000000000000e+00
2.000000000000000000e+01,2.463281522533745260e+01,5.291042075294871694e+01,-1.992642098042478414e-03,5.272911087180520440e+01,2.040622949539481201e-01,nan,1.138921144661487972e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.007412875714940981e+02,1.108865941254881982e+01,-2.376511218191788496e-02,6.565296190354097234e+02,1.450860041782819909e-02,nan,1.134187307689956725e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.406323700921207092e+02,2.751293755186102530e+01,-2.635574147791770738e-02,7.283737083538131856e+02,8.982934262585229312e-03,nan,1.194276174072205343e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.826991034828637339e+01,3.659753109334302223e+01,-1.658560994933557528e-03,4.346427601163857446e+01,2.624744998050395628e-01,nan,1.306003587061934468e+01,1.000000000000000000e+00
2.300000000000000000e+01,2.006406014723331666e+01,3.936312721032358297e+01,-2.364259206039037373e-02,6.531318551917306650e+02,2.505436297162888515e-02,nan,6.852313223658815566e+00,1.000000000000000000e+00
2.300000000000000000e+01,2.826213279796885303e+01,4.015023205008277074e+01,-1.416199785868269868e-02,3.902132439991735851e+02,1.302057478658591450e-01,nan,5.703237314296039528e+00,1.000000000000000000e+00
2.300000000000000000e+01,4.942264348961672482e+01,4.722688973435067794e+01,-1.126633821186946889e-02,3.099099637797404512e+02,7.060097575345214427e-02,nan,6.933769351301094730e+00,1.000000000000000000e+00
2.400000000000000000e+01,1.112006468569887403e+02,4.946019992494323958e+01,-2.080252577207448647e-02,5.743703062495436598e+02,1.709370323932224434e-02,nan,8.036569569080363351e+00,1.000000000000000000e+00
2.400000000000000000e+01,4.499836117266399782e+01,3.838852935113119713e+01,-3.129755800571155239e-02,8.654216096364087889e+02,9.863869194950969366e-03,nan,9.883870106580934234e+00,1.000000000000000000e+00
2.400000000000000000e+01,7.914973795548421265e+01,8.958723183582501193e+00,-1.683188079537018640e-03,4.414724152454886053e+01,2.785729897672822863e-01,nan,1.639481563596491043e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.192262967964865226e+02,4.987899998142339086e+01,-1.347628851180383142e-02,3.711969518420139025e+02,1.011499846362573507e-01,nan,8.036569569080363351e+00,1.000000000000000000e+00
2.500000000000000000e+01,8.139120538483975764e+00,2.334646440923432920e+01,-1.301663903635568061e-02,3.584498181551351763e+02,1.119944853889709435e-02,nan,1.109802398246843502e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.226985487235575789e+02,2.563435492533920268e+01,-1.173547932107133970e-02,3.229203222298968967e+02,1.736330500870486571e-02,nan,1.502279984531303825e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.098608205379442069e+02,1.783196745581133413e+01,-1.327998179419252918e-02,3.657529165353623171e+02,1.758319128906926654e-02,nan,1.134187307689956725e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.564855259627301365e+01,3.995399730612638223e+01,-7.476289343728779492e-03,2.048032200923052812e+02,1.721225571226736584e-01,nan,5.717060530513149885e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.428589845904158437e+02,3.924629793461738103e+01,-1.665736248064483838e-02,4.594154255150906465e+02,1.276601205047867005e-02,nan,1.194276174072205343e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.408661443899293175e+01,3.271628044898950094e+01,-1.395129550475223724e-02,3.843699846958251669e+02,2.733456881461682197e-02,nan,8.939263340097928889e+00,1.000000000000000000e+00
2.700000000000000000e+01,5.617398904333417420e+01,4.564686105380654624e+01,-1.000619761835368215e-02,2.749633762868533609e+02,6.558195284818602033e-02,nan,5.717060530513149885e+00,1.000000000000000000e+00
2.700000000000000000e+01,6.091307344567951532e+01,1.431197891515927445e+01,-1.818957309793355851e-03,4.791243352646461773e+01,2.499264219099285311e-01,nan,1.333312581499989236e+01,1.000000000000000000e+00
2.700000000000000000e+01,8.727558946738875534e+01,2.319812334453584413e+01,-1.603857092292378800e-03,4.194721138433484242e+01,2.806419508577442379e-01,nan,1.075673354633555334e+01,1.000000000000000000e+00
2.800000000000000000e+01,7.719844042934356310e+01,4.377538531393057752e+01,-1.575285063910707856e-02,4.343312385828523361e+02,8.949506787714667233e-03,nan,1.795490437325774380e+01,1.000000000000000000e+00
2.800000000000000000e+01,2.458654152620018252e+01,4.451107424696133563e+01,-5.541483640583112422e-03,1.511466224597571397e+02,1.377043518329368332e-01,nan,5.703237314296039528e+00,1.000000000000000000e+00
2.900000000000000000e+01,2.333606430189620795e+01,2.047426108027983460e+01,-1.610492035228403007e-02,4.440949388385570273e+02,1.229398600367881400e-02,nan,1.534338166735821218e+01,1.000000000000000000e+00
2.900000000000000000e+01,6.657597130740616542e+00,5.216216002264776996e+00,-2.151311555267004447e-02,5.940765898713186743e+02,1.390931640736359221e-02,nan,1.819067945146946741e+01,1.000000000000000000e+00
2.900000000000000000e+01,4.635641841356473947e+01,5.315052202620861976e+01,-1.375611018375398446e-02,3.789570482880216673e+02,1.974201266937025689e-02,nan,5.467728597127253565e+00,1.000000000000000000e+00
2.900000000000000000e+01,5.411675672429776540e+01,2.578291274904060160e+01,-1.402571958577504075e-03,3.636511318626086364e+01,3.108230227036439253e-01,nan,1.333312581499989236e+01,1.000000000000000000e+00
3.100000000000000000e+01,9.159692310377052138e+01,3.304867623206130389e+01,-1.550611219699206574e-02,4.274886159424899006e+02,4.377461792222470116e-02,nan,7.792631936751728716e+00,1.000000000000000000e+00
3.200000000000000000e+01,7.798766255698330951e+01,6.424908965644807068e+00,-2.976658886527521961e-02,8.229643256710558035e+02,3.202951729726011276e-02,nan,1.880817550184994147e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.012022264068186495e+01,5.117644378687904805e+01,-2.004183949576611445e-02,5.532747319569310775e+02,1.440021729046758736e-02,nan,1.592801096186108190e+01,1.000000000000000000e+00
3.400000000000000000e+01,9.346768487723879559e+01,2.548393149819137449e+01,-2.608972709565475501e-02,7.209965197036309519e+02,1.336414593970658427e-02,nan,7.792631936751728716e+00,1.000000000000000000e+00
3.400000000000000000e+01,7.976403275326276798e+01,3.957903596079476927e+01,-1.021320447127063887e-02,2.807041508752715231e+02,3.100964762015911980e-02,nan,1.351528365347184746e+01,1.000000000000000000e+00
3.400000000000000000e+01,4.462577983147344440e+01,4.796390982651408308e+01,-6.522287664007909297e-03,1.783465664932725758e+02,8.711392276217078123e-02,nan,5.467728597127253565e+00,1.000000000000000000e+00
3.400000000000000000e+01,6.832615130633583078e+01,5.034749128215464964e+01,-3.237205385375147709e-02,8.952198427522129123e+02,1.030497430142063298e-02,nan,1.570938452015480280e+01,1.000000000000000000e+00
3.500000000000000000e+01,3.644865876175976638e+01,1.743090991443015270e+01,-1.247093237213991145e-02,3.433161213401940017e+02,4.478911445085831389e-02,nan,1.009951403903773226e+01,1.000000000000000000e+00
3.500000000000000000e+01,3.191676845254919925e+01,4.965147611557745932e+01,-3.191698757876348935e-02,8.825998117209447855e+02,7.437922889142578597e-03,nan,1.282056356833072641e+01,1.000000000000000000e+00
3.500000000000000000e+01,4.895112806419347606e+01,3.830384742604990578e+01,-1.510469410928750840e-03,3.935735689164961570e+01,3.044624739037501415e-01,nan,1.058420724075053343e+01,1.000000000000000000e+00
3.700000000000000000e+01,6.007447645037621520e+00,2.278153691662184599e+01,-1.332987756817336118e-02,3.671366407324231886e+02,1.582026402714209468e-02,nan,1.490142930527937715e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.201423228048738991e+02,3.909095546894973694e+01,-1.429324621893045787e-02,3.938530619117919400e+02,1.459311843289834432e-02,nan,1.898939835894605466e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.120223469723432004e+02,2.192519762043455955e+01,-2.618240960492079772e-02,7.235668181574641267e+02,8.183602727356964479e-03,nan,1.246157318797538061e+01,1.000000000000000000e+00
3.800000000000000000e+01,2.758911777087980255e+01,1.258233102411209181e+01,-2.624455224210577725e-02,7.252901759467443981e+02,1.144048631440552910e-02,nan,1.009951403903773226e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.405203995677395312e+02,4.642406867896028899e+01,-1.618802918310486595e-03,4.236169340267696981e+01,2.350884009355463933e-01,nan,2.165734429481314649e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.465985045899662254e+01,2.079910638057614491e+01,-1.899411173455615304e-02,5.242188392539619599e+02,2.256264783052475131e-02,nan,1.028422749592318652e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.513565178582417126e+01,1.100323124456670598e+01,-4.995795031425648465e-03,1.360134263529734824e+02,5.297814761524288762e-02,nan,1.255318171439806285e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.398326406468105176e+02,1.571959340663186744e+01,-1.742404517202116379e-02,4.806772941441400349e+02,1.965830609333052426e-02,nan,1.849267631001662693e+01,1.000000000000000000e+00
4.000000000000000000e+01,9.194107768966026129e+01,1.943772104967725411e+01,-2.240479839392414685e-02,6.188049992155908967e+02,1.194884661903217182e-02,nan,9.380013227788957408e+00,1.000000000000000000e+00
4.000000000000000000e+01,7.793938899807663745e+01,2.971141574555297282e+01,-1.850962559073873401e-02,5.107829278158826014e+02,1.247852791091319524e-02,nan,1.481284990211716845e+01,1.000000000000000000e+00
4.100000000000000000e+01,4.203669318478373640e+01,4.826157737705042905e+01,-2.217160520316893701e-02,6.123380174475202011e+02,1.421929422624468309e-02,nan,1.628298113249078227e+01,1.000000000000000000e+00
4.200000000000000000e+01,7.651692366219710095e+01,1.496702309645162998e+01,-1.969955422081648769e-02,5.437823766038027316e+02,8.751798540935329385e-03,nan,1.027855325398013697e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.094875777350473953e+02,3.412625295318859742e+01,-4.116185328008440530e-02,1.138981131197226432e+03,1.460999985444567661e-01,nan,6.777672632556424048e+00,1.000000000000000000e+00
4.300000000000000000e+01,1.007707216556205765e+02,1.627196117440616518e+01,-1.003824243098492240e-02,2.758520524028940599e+02,3.824562937608544377e-02,nan,9.380013227788957408e+00,1.000000000000000000e+00
4.400000000000000000e+01,1.111671661001575586e+02,4.069251743445120439e+01,-8.379729086682900785e-02,2.321359555945615739e+03,1.792765315164468465e-02,nan,6.777672632556424048e+00,1.000000000000000000e+00
4.400000000000000000e+01,2.968096762167358804e+01,2.356864305561024864e+01,-1.583374786565079281e-02,4.365747041293865891e+02,1.232056776038747969e-02,nan,1.326932498535249216e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.330080368536921469e+02,3.290691024708152668e+01,-3.163251419344589865e-02,8.747107125993438785e+02,9.277652396976643345e-03,nan,1.849267631001662693e+01,1.000000000000000000e+00
4.400000000000000000e+01,7.033633824742797458e+01,6.754287807545210853e+00,-4.917743859241263671e-03,1.338488884183181540e+02,1.659740409980048348e-01,nan,1.027855325398013697e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.530382737625121337e+01,3.546144861472706111e+01,-2.359051779123299067e-02,6.516877163292888326e+02,1.256922438956709076e-02,nan,1.583945029568374885e+01,1.000000000000000000e+00
4.500000000000000000e+01,7.540425771674524924e+01,4.461592776282806483e+01,-3.181083991038629460e-02,8.796560935364839224e+02,1.031503578418017097e-01,nan,4.213210053506836417e+00,1.000000000000000000e+00
4.600000000000000000e+01,3.981860336285760837e+01,3.213037927824454698e+01,-3.253198356102578875e-02,8.996550601690094027e+02,3.876174386594988253e-02,nan,1.326932498535249216e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.729583033846158457e+01,5.175706703576874901e+01,-1.892383722039594346e-02,5.222699658740733639e+02,1.626394350152804424e-02,nan,9.544980886451208235e+00,1.000000000000000000e+00
4.800000000000000000e+01,7.142854472095648077e+01,4.601050480626717842e+01,-1.980414546643192303e-02,5.466829316170270658e+02,2.812459062117171893e-01,nan,4.213210053506836417e+00,1.000000000000000000e+00
4.900000000000000000e+01,8.350122755927550600e+01,3.391710430328377868e+01,-2.717483854323948442e-02,7.510891477307576451e+02,1.113408516423486372e-02,nan,1.341736725476870973e+01,1.000000000000000000e+00
4.900000000000000000e+01,8.453189841544201499e+00,4.639522814389048477e+01,-2.683776232387167018e-02,7.417412514305173090e+02,9.810036573488001288e-03,nan,1.317188238836570946e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.168471873923771653e+01,1.824870456448028122e+01,-2.250414215652897162e-02,6.215600294952330387e+02,8.348774063194452921e-03,nan,9.882174075453008300e+00,1.000000000000000000e+00
5.000000000000000000e+01,4.121550540482260772e+01,4.996926209244157313e+00,-1.925336122907055081e-02,5.314084220585734784e+02,1.015614335753223241e-02,nan,1.522087636816240952e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.140724290356343147e+02,8.067845597419408321e+00,-2.008865513848458878e-02,5.545730370529778384e+02,8.806694992230412744e-03,nan,1.601961208411044879e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.309722932065926670e+02,2.801534676114646771e+01,1.776491626052238747e-03,-4.673476276501110505e+01,2.983407591730020680e-01,nan,1.667160504388295550e+01,1.000000000000000000e+00
5.100000000000000000e+01,9.483891468428298310e+01,2.256198255600557090e+01,-3.061830948312360690e-02,8.465844909480832712e+02,1.032131321340368224e-02,nan,1.260840885947980716e+01,1.000000000000000000e+00
5.200000000000000000e+01,2.130621358248751918e+01,4.351455697770608566e+01,-2.310623811080093903e-02,6.382575305941967372e+02,1.327323235395438950e-02,nan,1.176629971635370886e+01,1.000000000000000000e+00
5.200000000000000000e+01,6.682912832734299968e+01,5.128495520801129715e+01,-2.129930386675888895e-02,5.881471016640948619e+02,3.044452564275434980e-02,nan,6.998175348067460888e+00,1.000000000000000000e+00
5.200000000000000000e+01,1.218185798046755508e+02,4.194918850327869819e+01,-2.451354488742743098e-03,6.545025705038624153e+01,1.989067142487606077e-01,nan,1.082324495953947441e+01,1.000000000000000000e+00
5.300000000000000000e+01,9.822600186656745791e+01,1.041704062994379498e+01,-1.943885323105796689e-02,5.365525405085620605e+02,1.765976670792712699e-02,nan,8.919446063578824635e+00,1.000000000000000000e+00
5.400000000000000000e+01,1.061546527995956239e+02,4.902440641989448267e+01,-3.469282919667052850e-02,9.595802633195546605e+02,1.878161098373642979e-02,nan,8.847481238088070299e+00,1.000000000000000000e+00
5.400000000000000000e+01,5.247903717642769550e+01,1.523450060188852362e+01,-1.228054188513456185e-02,3.380361566710275270e+02,3.118277221625687101e-02,nan,1.522087636816240952e+01,1.000000000000000000e+00
5.400000000000000000e+01,2.137111827613345838e+01,2.020600588752215643e+01,-2.217725524154902719e-02,6.124947059643444618e+02,1.285443878000769313e-02,nan,9.882174075453008300e+00,1.000000000000000000e+00
5.400000000000000000e+01,1.274737675575118061e+02,5.338810170381857034e+01,-1.372834423242080479e-02,3.781870348049379800e+02,1.673715762233063398e-02,nan,1.276048132827733639e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.149122214809034546e+02,5.028254593938213901e+01,-1.162077443250982174e-02,3.197392927125529809e+02,1.289786091984103100e-01,nan,8.847481238088070299e+00,1.000000000000000000e+00
5.600000000000000000e+01,7.473249264964422878e+01,1.093503609264645959e+01,-1.558303341116605741e-02,4.296218175511219783e+02,1.062056748403927831e-02,nan,1.984561842211423155e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.343388445970051919e+02,4.100053095158529004e+01,-9.003693483178847740e-03,2.471616384076509689e+02,2.536242901420504570e-02,nan,1.255615313782187492e+01,1.000000000000000000e+00
