frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,9.246745360967335614e+01,3.678465899827670427e+01,-1.040475526717561314e-02,2.860162935701981155e+02,1.457722974259811899e-02,nan,1.749849392373666035e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.207331649962267406e+01,3.900998817239720751e+01,-1.816729067977127660e-02,5.012891959421905312e+02,1.120360241527178502e-01,nan,6.552000637380668735e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.323233774675368295e+02,4.106159010139218424e+01,-1.169801135534231408e-02,3.218812496460379862e+02,1.398778543985668144e-02,nan,1.775353391179531570e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.810504976509056263e+01,3.645129589576745133e+01,-2.392555881057926298e-02,6.609791718672963725e+02,3.471379540632313354e-02,nan,6.552000637380668735e+00,1.000000000000000000e+00
8.000000000000000000e+00,4.678667905160474305e+01,2.386876367618178563e+01,-1.442849340296396311e-02,3.976037763751731973e+02,1.768976690633561333e-02,nan,1.525713739470533348e+01,1.000000000000000000e+00
8.000000000000000000e+00,9.873199449226950719e+01,1.961995094211187052e+01,-8.152185020420510062e-03,2.235473566776296934e+02,2.373332163166685937e-02,nan,1.827215573278337857e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.430854267146812617e+02,7.835371194758079305e+00,-1.679541172051622188e-03,4.404610441955227174e+01,2.570891041266644139e-01,nan,1.147677321460283117e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.658723580215003324e+01,2.943510309436876682e+01,-2.837136197894008990e-02,7.842714855969944665e+02,1.411418864512725690e-02,nan,1.322416171798100493e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.764439854665089058e+01,1.969322878985370195e+01,-8.191726292838267393e-03,2.246439268089607708e+02,3.902019595779349093e-02,nan,8.202374822733800031e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.397085524838930226e+00,2.764936526913757575e+01,-9.617474698347337411e-03,2.641831985793870103e+02,2.589589167728845176e-02,nan,2.017821677637555666e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.125872371995811250e+01,5.318641282975930551e+01,-1.842922167036462056e-02,5.085531427803210249e+02,1.413403648534661272e-02,nan,1.229224184408662168e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.153517168946968781e+02,4.627222382077566465e+01,-1.500373677041781303e-03,3.907737904679538588e+01,3.124420982939642988e-01,nan,1.775353391179531570e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.632831281502005538e+01,3.880590724296820326e+01,-1.864151044920966255e-02,5.144403972833825947e+02,1.199538696883328814e-02,nan,1.154670580913155398e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.347001039699905505e+02,1.567135778782966504e+01,-1.322096871247029765e-02,3.641163484934765506e+02,1.863631108786734103e-02,nan,1.013487806313522910e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.478227281839567553e+01,3.892990498078022910e+01,-1.911087412481106765e-02,5.274569280100249671e+02,1.500222632921988097e-02,nan,1.154670580913155398e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.010889270371323079e+01,4.801142704594330723e+01,-1.651653210587218125e-03,4.327270731582517271e+01,2.993230551345668067e-01,nan,1.229224184408662168e+01,1.000000000000000000e+00
1.100000000000000000e+01,9.523148158237755467e+01,5.315190826497310184e+01,-1.392381259584468114e-03,3.608250174131073607e+01,3.334762677147216081e-01,nan,1.959312724417023688e+01,1.000000000000000000e+00
1.300000000000000000e+01,3.499021324586979631e+01,1.419283292120828932e+01,-8.268869183085140670e-03,2.267832760032796671e+02,2.709657617896243931e-02,nan,1.525713739470533348e+01,1.000000000000000000e+00
