ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.411	7114	0.068	1993	0.11	61.4	*	4.350	4.567	0.49	1.38	1.603
2	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.413	7391	0.073	2228	0.11	66.5	*	4.350	4.517	0.43	1.70	1.458
3	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.426	21744	0.364	6361	0.33	110.2	*	4.333	4.567	0.96	3.80	1.373
4	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.423	21860	0.366	6440	0.33	110.9	*	4.350	4.567	1.00	3.67	1.405
5	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.426	60146	1.141	16968	1	114.1	*	4.350	4.6	1.31	8.72	1.506
6	240428-std curve_1pmol ABm1-42_001_07.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.420	66732	1.274	19359	1	127.4	*	4.350	4.6	1.43	8.93	1.342
7	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.419	154087	3.041	44683	3	101.4	*	4.350	4.6	0.67	45.17	1.451
8	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.418	154879	3.057	44843	3	101.9	*	4.350	4.6	0.65	47.16	1.470
9	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.419	467398	9.381	134304	9	104.2	*	4.333	4.6	0.96	97.53	1.441
10	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.424	484217	9.721	132718	9	108.0	*	4.133	4.6	1.32	73.61	1.514
11	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.417	1288584	25.996	378560	27	96.3	*	4.350	4.6	1.09	238.58	1.408
12	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.416	1308549	26.400	369996	27	97.8	*	4.283	4.6	1.18	224.65	1.484
13	240510 WideTempSol t2(5days)_none_001_26.lcd	Control	none	-1	4.332	984	-0.056	362	-----	-----	-----	4.300	4.400	-0.39	1.47	--
14	240510 WideTempSol t2(5days)_none_001_01.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
15	240510 WideTempSol t2(5days)_70 deg_001_19.lcd	Unknown	70 deg	F10	4.434	219267	4.360	46101	-----	-----	-----	4.233	4.683	1.94	22.48	1.185
16	240510 WideTempSol t2(5days)_70 deg_001_13.lcd	Unknown	70 deg	F9	4.432	442446	8.876	94725	-----	-----	-----	4.233	4.7	1.73	51.37	1.266
17	240510 WideTempSol t2(5days)_70 deg_001_07.lcd	Unknown	70 deg	F8	4.429	179817	3.562	36743	-----	-----	-----	4.233	4.700	2.14	16.65	1.136
