Temp,Conc (nM),Incubation time (days)
30,47.15649772817786,2.7
30,39.95777945896817,2.7
30,36.05086885558281,2.7
40,32.28405202318982,2.7
40,25.67616490832966,2.7
40,27.625396866241903,2.7
70,288.2935769545694,2.7
70,161.4214032194034,2.7
70,223.2673637778571,2.7
18,32.63400181066642,5.0
18,55.110141994296455,5.0
18,46.12063926512896,5.0
23,20.237955477701192,5.0
23,115.89438209009101,5.0
23,41.52837984713598,5.0
30,16.159477090048462,5.0
30,47.38933969523559,5.0
30,49.5988666942268,5.0
40,16.7941407265693,5.0
40,15.925600896977151,5.0
40,10.816267883488456,5.0
70,135.41132075574575,5.0
70,110.32532880672454,5.0
70,274.61521874220887,5.0
