Temp,Conc (nM),Incubation time (days)
30,91.54563384248144,2.7
30,86.2616626003576,2.7
30,86.51930436922535,2.7
40,66.24203435546761,2.7
40,61.519377392588424,2.7
40,68.70057773942405,2.7
70,513.9846346637433,2.7
70,312.39837266931676,2.7
70,491.7390076394102,2.7
18,112.47295123583612,5.0
18,129.34107498389747,5.0
18,109.90188403020944,5.0
23,72.24252186414854,5.0
23,184.25015514547948,5.0
23,91.63706422932633,5.0
30,46.95408110845231,5.0
30,80.70163675514351,5.0
30,95.01877295672087,5.0
40,51.038074362660815,5.0
40,43.65579463107166,5.0
40,31.108497740541825,5.0
70,429.2228609722515,5.0
70,318.0931513856012,5.0
70,809.0932088539114,5.0
