ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	250323 sol_none_001_01.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
2	250323 sol_AB(M1-42) 70deg 45.5h 10uM_1_001_02.lcd	Unknown	AB(M1-42) 70deg 45.5h 10uM_1	B7	4.465	776376	15.632	162510	-----	-----	-----	4.267	5.467	1.52	102.91	1.323
3	250323 sol_AB(M1-42) 70deg 45.5h 5uM_1_001_03.lcd	Unknown	AB(M1-42) 70deg 45.5h 5uM_1	B8	4.404	3181638	64.298	694635	-----	-----	-----	4.267	4.683	1.92	334.81	1.319
4	250323 sol_clean_001_04.lcd	Control	clean	-1	4.410	5820	0.041	1328	-----	-----	-----	4.300	4.533	0.06	6.64	0.983
5	250323 sol_AB(M1-42) 70deg 45.5h 0.5uM_1_001_05.lcd	Unknown	AB(M1-42) 70deg 45.5h 0.5uM_1	B9	-----	-----	-----	-----	-----	-----	-----	4.267	4.6	-----	-----	-----
6	250323 sol_AB(M1-42) 70deg 45.5h 10uM_2_001_06.lcd	Unknown	AB(M1-42) 70deg 45.5h 10uM_2	B10	4.413	1239759	25.008	264062	-----	-----	-----	4.233	5.550	2.22	112.62	1.356
7	250323 sol_AB(M1-42) 70deg 45.5h 5uM_2_001_07.lcd	Unknown	AB(M1-42) 70deg 45.5h 5uM_2	B11	4.410	2960101	59.816	636022	-----	-----	-----	4.283	4.683	2.52	237.73	1.341
8	250323 sol_clean_001_08.lcd	Control	clean	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
9	250323 sol_AB(M1-42) 70deg 45.5h 0.5uM_2_001_09.lcd	Unknown	AB(M1-42) 70deg 45.5h 0.5uM_2	B12	-----	-----	-----	-----	-----	-----	-----	4.267	4.6	-----	-----	-----
10	250323 sol_buffer 70deg 45.5h_001_10.lcd	Unknown	buffer 70deg 45.5h	C1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
11	250323 sol_clean_001_11.lcd	Control	clean	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
12	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.411	7114	0.068	1993	0.11	61.4	*	4.350	4.567	0.49	1.38	1.603
13	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.413	7391	0.073	2228	0.11	66.5	*	4.350	4.517	0.43	1.70	1.458
14	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.426	21744	0.364	6361	0.33	110.2	*	4.333	4.567	0.96	3.80	1.373
15	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.423	21860	0.366	6440	0.33	110.9	*	4.367	4.567	1.00	3.67	1.405
16	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.426	60146	1.141	16968	1	114.1	*	4.350	4.583	1.31	8.72	1.506
