ID#	1
Name	AB(M1-42)_205
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	250323 sol_none_001_01.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
2	250323 sol_AB(M1-42) 70deg 45.5h 10uM_1_001_02.lcd	Unknown	AB(M1-42) 70deg 45.5h 10uM_1	B7	4.445	392615	15.490	102481	-----	-----	-----	4.2	4.6	0.08	1866.57	--
3	250323 sol_AB(M1-42) 70deg 45.5h 5uM_1_001_03.lcd	Unknown	AB(M1-42) 70deg 45.5h 5uM_1	B8	4.387	1771441	69.872	512266	-----	-----	-----	4.125	4.6	0.06	12270.74	--
4	250323 sol_clean_001_04.lcd	Control	clean	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
5	250323 sol_AB(M1-42) 70deg 45.5h 0.5uM_1_001_05.lcd	Unknown	AB(M1-42) 70deg 45.5h 0.5uM_1	B9	4.400	115859	4.575	29667	-----	-----	-----	4.125	4.6	0.08	559.69	--
6	250323 sol_AB(M1-42) 70deg 45.5h 10uM_2_001_06.lcd	Unknown	AB(M1-42) 70deg 45.5h 10uM_2	B10	4.397	668394	26.367	184095	-----	-----	-----	4.125	4.6	0.07	3582.40	--
7	250323 sol_AB(M1-42) 70deg 45.5h 5uM_2_001_07.lcd	Unknown	AB(M1-42) 70deg 45.5h 5uM_2	B11	4.393	1658442	65.415	484711	-----	-----	-----	4.125	4.6	0.06	10246.39	--
8	250323 sol_clean_001_08.lcd	Control	clean	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
9	250323 sol_AB(M1-42) 70deg 45.5h 0.5uM_2_001_09.lcd	Unknown	AB(M1-42) 70deg 45.5h 0.5uM_2	B12	4.403	92202	3.642	20691	-----	-----	-----	4.125	4.6	0.10	357.34	--
10	250323 sol_buffer 70deg 45.5h_001_10.lcd	Unknown	buffer 70deg 45.5h	C1	4.365	16340	0.650	3992	-----	-----	-----	4.19	4.6	0.08	84.60	--
11	250323 sol_clean_001_11.lcd	Control	clean	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
12	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.395	1872	0.079	1227	0.11	72.1	*	4.362	4.445	0.03	29.01	1.099
