ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Height	Conc.	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	250328 4d sol_none_001_01.lcd	Control	none	-1	4.600	322	56	-0.070	-----	-----	-----	4.567	4.700	-1.33	0.53	--
2	250328 4d sol_clean_001_12.lcd	Control	clean	-1	4.283	533	72	-0.066	-----	-----	-----	4.250	4.517	-0.63	1.04	--
3	250328 4d sol_5deg_B_001_11.lcd	Unknown	5deg_B	B8	4.468	265	107	-0.071	-----	-----	-----	4.417	4.517	-8.37	0.08	1.001
4	250328 4d sol_5deg_50uM_3_001_08.lcd	Unknown	5deg_50uM_3	G7	4.481	108198	31737	2.113	-----	-----	-----	4.417	4.917	0.48	44.20	1.374
5	250328 4d sol_5deg_50uM_2_001_05.lcd	Unknown	5deg_50uM_2	D7	4.481	14678	4439	0.221	-----	-----	-----	4.400	4.600	0.51	4.30	1.401
6	250328 4d sol_5deg_50uM_1_001_02.lcd	Unknown	5deg_50uM_1	A7	4.484	72813	21957	1.397	-----	-----	-----	4.417	5.883	0.68	20.57	1.342
7	250328 4d sol_5deg_50uM_1_001_01.lcd	Unknown	5deg_50uM_1	A7	4.483	17497	5096	0.278	-----	-----	-----	4.367	4.700	0.25	11.18	1.348
8	250328 4d sol_5deg_25uM_3_001_09.lcd	Unknown	5deg_25uM_3	H7	4.474	29587	8437	0.522	-----	-----	-----	4.233	4.667	0.70	7.41	1.435
9	250328 4d sol_5deg_25uM_2_001_06.lcd	Unknown	5deg_25uM_2	E7	4.482	21627	6490	0.361	-----	-----	-----	4.400	4.733	1.23	2.93	1.279
10	250328 4d sol_5deg_25uM_1_001_03.lcd	Unknown	5deg_25uM_1	B7	4.474	21949	6439	0.368	-----	-----	-----	4.400	4.733	0.81	4.53	1.343
11	250328 4d sol_5deg_12uM_3_001_10.lcd	Unknown	5deg_12uM_3	A8	4.482	88596	27278	1.716	-----	-----	-----	4.417	6.417	1.02	16.79	1.353
12	250328 4d sol_5deg_12uM_2_001_07.lcd	Unknown	5deg_12uM_2	F7	4.474	108250	30094	2.114	-----	-----	-----	4.350	5.150	0.78	26.96	1.449
13	250328 4d sol_5deg_12uM_1_001_04.lcd	Unknown	5deg_12uM_1	C7	4.484	102131	29885	1.990	-----	-----	-----	4.400	4.783	1.57	12.65	1.344
14	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.419	467398	134304	9.381	9	104.2	*	4.333	4.917	0.96	97.53	1.441
15	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.424	484217	132718	9.721	9	108.0	*	4.133	4.783	1.32	73.61	1.514
16	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.419	154087	44683	3.041	3	101.4	*	4.350	4.717	0.67	45.17	1.451
17	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.418	154879	44843	3.057	3	101.9	*	4.350	4.667	0.65	47.16	1.470
18	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.417	1288584	378560	25.996	27	96.3	*	4.350	4.967	1.09	238.58	1.408
19	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.416	1308549	369996	26.400	27	97.8	*	4.283	4.950	1.18	224.65	1.484
