ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	240428-std curve_0.11pmol ABm1-42_001_04.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.411	7114	0.068	1993	0.11	61.4	*	4.350	4.567	0.49	1.38	1.603
2	240428-std curve_0.11pmol ABm1-42_001_03.lcd	Standard(Calc.Point)	0.11pmol ABm1-42	B2	4.413	7391	0.073	2228	0.11	66.5	*	4.35	4.517	0.43	1.70	1.458
3	240428-std curve_0.33pmol ABm1-42_001_06.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.426	21744	0.364	6361	0.33	110.2	*	4.333	4.567	0.96	3.80	1.373
4	240428-std curve_0.33pmol ABm1-42_001_05.lcd	Standard(Calc.Point)	0.33pmol ABm1-42	B2	4.423	21860	0.366	6440	0.33	110.9	*	4.35	4.567	1.00	3.67	1.405
5	240428-std curve_1pmol ABm1-42_001_08.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.426	60146	1.141	16968	1	114.1	*	4.350	4.583	1.31	8.72	1.506
6	240428-std curve_1pmol ABm1-42_001_07.lcd	Standard(Calc.Point)	1pmol ABm1-42	B2	4.420	66732	1.274	19359	1	127.4	*	4.350	4.7	1.43	8.93	1.342
7	240428-std curve_3pmol ABm1-42_001_10.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.419	154087	3.041	44683	3	101.4	*	4.350	4.7	0.67	45.17	1.451
8	240428-std curve_3pmol ABm1-42_001_09.lcd	Standard(Calc.Point)	3pmol ABm1-42	C2	4.418	154879	3.057	44843	3	101.9	*	4.350	4.667	0.65	47.16	1.470
9	240428-std curve_9pmol ABm1-42_001_12.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.419	467398	9.381	134304	9	104.2	*	4.333	4.7	0.96	97.53	1.441
10	240428-std curve_9pmol ABm1-42_001_11.lcd	Standard(Calc.Point)	9pmol ABm1-42	C2	4.424	484217	9.721	132718	9	108.0	*	4.133	4.7	1.32	73.61	1.514
11	240428-std curve_27pmol ABm1-42_001_14.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.417	1288584	25.996	378560	27	96.3	*	4.350	4.7	1.09	238.58	1.408
12	240428-std curve_27pmol ABm1-42_001_13.lcd	Standard(Calc.Point)	27pmol ABm1-42	C2	4.416	1308549	26.400	369996	27	97.8	*	4.283	4.7	1.18	224.65	1.484
13	250328 4d sol_none_001_01.lcd	Control	none	-1	4.600	322	-0.070	56	-----	-----	-----	4.567	4.700	-1.33	0.53	--
14	250328 4d sol_clean_001_12.lcd	Control	clean	-1	4.283	533	-0.066	72	-----	-----	-----	4.250	4.517	-0.63	1.04	--
15	250328 4d sol_5deg_B_001_11.lcd	Unknown	5deg_B	B8	4.468	265	-0.071	107	-----	-----	-----	-----	4.517	-8.37	0.08	1.001
16	250328 4d sol_5deg_50uM_3_001_08.lcd	Unknown	5deg_50uM_4	G7	4.481	108198	2.113	31737	-----	-----	-----	4.417	4.917	0.48	44.20	1.374
17	250328 4d sol_5deg_50uM_2_001_05.lcd	Unknown	5deg_50uM_3	D7	4.481	14678	0.221	4439	-----	-----	-----	4.400	4.600	0.51	4.30	1.401
18	250328 4d sol_5deg_50uM_1_001_02.lcd	Unknown	5deg_50uM_2	A7	4.484	72813	1.397	21957	-----	-----	-----	4.417	5.883	0.68	20.57	1.342
19	250328 4d sol_5deg_50uM_1_001_01.lcd	Unknown	5deg_50uM_1	A7	4.483	17497	0.278	5096	-----	-----	-----	4.367	4.700	0.25	11.18	1.348
20	250328 4d sol_5deg_25uM_3_001_09.lcd	Unknown	5deg_25uM_3	H7	4.474	29587	0.522	8437	-----	-----	-----	4.233	4.667	0.70	7.41	1.435
21	250328 4d sol_5deg_25uM_2_001_06.lcd	Unknown	5deg_25uM_2	E7	4.482	21627	0.361	6490	-----	-----	-----	4.400	4.733	1.23	2.93	1.279
22	250328 4d sol_5deg_25uM_1_001_03.lcd	Unknown	5deg_25uM_1	B7	4.474	21949	0.368	6439	-----	-----	-----	4.400	4.733	0.81	4.53	1.343
23	250328 4d sol_5deg_12uM_3_001_10.lcd	Unknown	5deg_12uM_3	A8	4.482	91819	1.781	27238	-----	-----	-----	4.333	4.783	1.14	15.65	1.346
24	250328 4d sol_5deg_12uM_2_001_07.lcd	Unknown	5deg_12uM_2	F7	4.474	108250	2.114	30094	-----	-----	-----	4.350	5.150	0.78	26.96	1.449
25	250328 4d sol_5deg_12uM_1_001_04.lcd	Unknown	5deg_12uM_1	C7	4.484	102131	1.990	29885	-----	-----	-----	4.400	4.783	1.57	12.65	1.344
	Average				4.447	185295	3.673	53220		100.0		4.355	4.770	0.37	36.28	1.396
	%RSD				1.221897	193.148430	197.162765	193.316222		18.795655		1.793536	5.922750	516.621518	175.793856	8.107438
	Maximum				4.600	1308549	26.400	378560		127.4		4.567	5.883	1.57	238.58	1.603
	Minimum				4.283	265	-0.071	56		61.4		4.133	4.517	-8.37	0.08	1.001
	Std. Dev.				0.054340	357894.006305	7.241394	102883.122754		18.795655		0.078102	0.282515	1.925037	63.773046	0.113208

