ID#	1
Name	AB(m1-42)_TIC
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	260105 seeded temp sol_none_nametest_01.lcd	Control	none	-1	4.566	1227	-0.052	190	-----	-----	-----	4.467	4.650	-0.99	0.52	--
2	260105 seeded temp sol_buffer_nametest_02.lcd	Control	buffer	F1	4.517	458	-0.067	143	-----	-----	-----	-----	4.617	-7.35	0.09	1.371
3	260105 seeded temp sol_frozen monomer 8.2 uM_nametest_01.lcd	Control	frozen monomer 8.2 uM	F2	4.368	2032677	41.051	388028	-----	-----	-----	4.283	4.700	0.84	487.73	1.995
4	260105 seeded temp sol_frozen monomer 0.82 uM_nametest_01.lcd	Control	frozen monomer 0.82 uM	F3	4.347	880465	17.738	175927	-----	-----	-----	4.250	4.783	1.24	143.19	1.891
5	260105 seeded temp sol_10c2d_1_1_02.lcd	Unknown	10c2d_1	A1	4.351	139753	2.751	30461	-----	-----	-----	4.283	4.783	1.08	25.57	1.867
6	260105 seeded temp sol_10c2d_2_2_03.lcd	Unknown	10c2d_2	A2	4.354	135491	2.665	29606	-----	-----	-----	4.200	4.633	1.36	19.64	1.800
7	260105 seeded temp sol_21c2d_1_3_04.lcd	Unknown	21c2d_1	B1	4.351	17959	0.287	3932	-----	-----	-----	4.283	4.567	1.12	2.56	1.838
8	260105 seeded temp sol_21c2d_2_4_01.lcd	Unknown	21c2d_2	B2	4.379	79196	1.526	16717	-----	-----	-----	4.300	4.733	1.83	8.35	2.015
9	260105 seeded temp sol_37c2d_1_1_5_02.lcd	Unknown	37c2d_B	C1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
10	260105 seeded temp sol_37c2d_2_6_01.lcd	Unknown	37c2d_2	C2	4.354	25305	0.436	4568	-----	-----	-----	4.267	4.633	2.21	1.97	2.406
11	260105 seeded temp sol_60c2d_1_7_01.lcd	Unknown	60c2d_1	D1	4.363	22057	0.370	3960	-----	-----	-----	4.25	4.633	1.76	2.10	2.675
12	260105 seeded temp sol_60c2d_2_8_01.lcd	Unknown	60c2d_2	D2	4.365	18251	0.293	3827	-----	-----	-----	4.300	4.533	1.09	2.69	1.901
13	260105 seeded temp sol_80c2d_1_9_02.lcd	Unknown	80c2d_1	E1	4.362	28182	0.494	3960	-----	-----	-----	4.183	4.633	1.69	2.93	1.363
14	260105 seeded temp sol_80c2d_B_10_03.lcd	Unknown	80c2d_B	E2	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
15	260105 seeded temp sol_10c7d_1_11_04.lcd	Unknown	10c7d_1	A6	4.357	202070	4.012	39496	-----	-----	-----	4.233	4.667	2.37	16.89	1.899
16	260105 seeded temp sol_10c7d_2_12_05.lcd	Unknown	10c7d_2	A7	4.350	273166	5.451	56524	-----	-----	-----	4.283	4.717	1.69	32.29	1.926
17	260105 seeded temp sol_21c7d_1_13_06.lcd	Unknown	21c7d_1	B6	4.360	128658	2.527	22425	-----	-----	-----	4.217	4.733	1.51	16.68	2.411
18	260105 seeded temp sol_21c7d_2_14_07.lcd	Unknown	21c7d_2	B7	4.353	120908	2.370	23151	-----	-----	-----	4.250	4.800	0.91	25.98	2.238
19	260105 seeded temp sol_37c7d_1_15_08.lcd	Unknown	37c7d_1	C6	4.358	42159	0.777	6615	-----	-----	-----	4.283	4.767	2.21	3.51	2.951
20	260105 seeded temp sol_37c7d_2_16_09.lcd	Unknown	37c7d_2	C7	4.360	77591	1.494	11354	-----	-----	-----	4.267	4.800	1.37	10.93	3.478
21	260105 seeded temp sol_60c7d_1_17_10.lcd	Unknown	60c7d_1	D6	4.352	57282	1.083	9693	-----	-----	-----	4.217	4.633	2.51	4.32	2.759
22	260105 seeded temp sol_60c7d_2_18_11.lcd	Unknown	60c7d_2	D7	4.357	19848	0.325	3441	-----	-----	-----	4.250	4.667	1.65	1.97	2.305
23	260105 seeded temp sol_80c7d_B_19_12.lcd	Unknown	80c7d_B	E6	4.367	3002	-0.016	172	-----	-----	-----	-----	4.650	-1.87	0.08	--
24	260105 seeded temp sol_80c7d_2_20_13.lcd	Unknown	80c7d_2	E7	4.362	1333	-0.049	329	-----	-----	-----	-----	4.400	-3.81	0.13	--
25	260105 seeded temp sol_10c2d_3_25_14.lcd	Unknown	10c2d_3	A3	4.351	284176	5.673	59123	-----	-----	-----	4.267	5.383	1.78	31.80	1.869
26	260105 seeded temp sol_10c2d_4_26_15.lcd	Unknown	10c2d_4	A4	4.355	353136	7.069	71897	-----	-----	-----	4.267	4.783	1.58	44.78	1.853
27	260105 seeded temp sol_21c2d_3_27_16.lcd	Unknown	21c2d_3	B3	4.349	81621	1.575	16738	-----	-----	-----	4.250	4.667	1.28	12.28	2.065
28	260105 seeded temp sol_21c2d_4_28_17.lcd	Unknown	21c2d_4	B4	4.350	40993	0.753	8440	-----	-----	-----	4.250	4.683	0.82	9.16	2.057
29	260105 seeded temp sol_37c2d_3_29_18.lcd	Unknown	37c2d_3	C3	4.352	10137	0.129	2075	-----	-----	-----	4.250	4.500	0.64	2.00	--
30	260105 seeded temp sol_37c2d_4_30_19.lcd	Unknown	37c2d_4	C4	4.356	9348	0.113	1489	-----	-----	-----	4.100	4.533	1.05	1.07	--
31	260105 seeded temp sol_60c2d_3_31_20.lcd	Unknown	60c2d_3	D3	4.355	14251	0.212	2662	-----	-----	-----	4.283	4.533	1.03	2.05	--
32	260105 seeded temp sol_60c2d_4_32_21.lcd	Unknown	60c2d_4	D4	4.356	9073	0.107	1766	-----	-----	-----	4.250	4.517	0.82	1.30	1.771
33	260105 seeded temp sol_80c2d_3_33_22.lcd	Unknown	80c2d_3	E3	4.362	30257	0.536	4867	-----	-----	-----	4.183	4.633	2.10	2.56	1.344
34	260105 seeded temp sol_80c2d_4_34_23.lcd	Unknown	80c2d_4	E4	4.352	27788	0.486	4580	-----	-----	-----	4.183	4.750	1.44	3.37	1.304
35	260105 seeded temp sol_10c7d_3_35_24.lcd	Unknown	10c7d_3	A8	4.348	138984	2.736	29573	-----	-----	-----	4.267	4.850	1.31	20.91	1.871
36	260105 seeded temp sol_10c7d_4_36_25.lcd	Unknown	10c7d_4	A9	4.347	121707	2.386	25654	-----	-----	-----	4.233	4.717	2.01	11.90	1.887
37	260105 seeded temp sol_21c7d_3_37_26.lcd	Unknown	21c7d_3	B8	4.352	47970	0.894	9844	-----	-----	-----	4.267	4.650	0.68	13.08	1.953
38	260105 seeded temp sol_21c7d_4_38_27.lcd	Unknown	21c7d_4	B9	4.353	40726	0.748	8475	-----	-----	-----	4.283	4.667	0.53	14.07	1.907
39	260105 seeded temp sol_37c7d_3_39_28.lcd	Unknown	37c7d_3	C8	4.355	7566	0.077	1280	-----	-----	-----	4.233	4.517	1.30	0.59	--
40	260105 seeded temp sol_37c7d_4_40_29.lcd	Unknown	37c7d_4	C9	4.362	4804	0.021	981	-----	-----	-----	4.300	4.517	0.25	0.85	1.736
41	260105 seeded temp sol_60c7d_3_41_30.lcd	Unknown	60c7d_3	D8	4.354	23479	0.399	4012	-----	-----	-----	4.267	4.733	1.91	2.08	2.746
42	260105 seeded temp sol_60c7d_4_42_31.lcd	Unknown	60c7d_4	D9	4.358	5812	0.041	1121	-----	-----	-----	4.283	4.533	0.73	0.56	1.981
43	260105 seeded temp sol_80c7d_3_43_32.lcd	Unknown	80c7d_3	E8	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
44	260105 seeded temp sol_80c7d_4_44_33.lcd	Unknown	80c7d_4	E9	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
45	260105 seeded temp sol_10c2d_5_45_34.lcd	Unknown	10c2d_5	A5	4.350	321517	6.429	62428	-----	-----	-----	4.267	5.200	1.67	38.48	2.035
