Temp,Conc (nM),Incubation time (days)
10,124.0647754836125,2
10,124.5198327142811,2
10,79.16594413576783,2
10,99.5987040129057,2
10,89.38459094821702,2
21,15.364557054387884,2
21,22.092335502462564,2
21,22.2005204258729,2
21,11.225035407742208,2
21,11.847385150818123,2
37,1.8861456243880275,2
37,6.645156382238013,2
37,2.253745912623735,2
37,1.6029317644166166,2
37,1.2503467975937388,2
60,5.57449989092027,2
60,4.479809278478127,2
60,3.148843800807179,2
60,2.1418834548975245,2
60,3.6688620738520026,2
80,7.279536169729084,2
80,8.151259357085479,2
80,7.46841211838914,2
10,54.59816205882908,7
10,71.41530474053266,7
10,38.881098585390454,7
10,33.54525570772894,7
10,30.571091734991068,7
21,33.49885306230081,7
21,34.327987837908836,7
21,12.952364470298965,7
21,10.80944355916479,7
21,9.424186019550332,7
37,11.403202535640103,7
37,20.425051035665604,7
37,1.5166005907326507,7
37,0.8974382012379106,7
37,30.615713446955507,7
60,14.517226605535622,7
60,5.084577171484974,7
60,6.218188609145316,7
60,1.2845792815463797,7
60,1.2726356463267237,7
80,6.149302886180974,7
