ID#	1															
Name	AB(M1-42)_205															
	Data Filename	Sample Type	Sample Name	Vial#	Ret. Time	Area	Conc.	Height	Std. Conc.	Accuracy[%]	Cal. Point	Peak Start	Peak End	Quant. Limit(QL)	S/N	Tailing F.
1	260105 seeded temp sol_none_nametest_01.lcd	Control	none	-1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
2	260105 seeded temp sol_buffer_nametest_02.lcd	Control	buffer	F1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
3	260105 seeded temp sol_frozen monomer 8.2 uM_nametest_01.lcd	Control	frozen monomer 8.2 uM	F2	4.347	588870	25.008	174828	-----	-----	-----	4.1	4.6	0.13	1895.1	1.827
4	260105 seeded temp sol_frozen monomer 0.82 uM_nametest_01.lcd	Control	frozen monomer 0.82 uM	F3	4.325	232499	9.821	74787	-----	-----	-----	4.1	4.6	0.13	732.56	1.912
5	260105 seeded temp sol_10c2d_1_1_02.lcd	Unknown	10c2d_1	A1	4.332	42814	1.738	11511	-----	-----	-----	4.1	4.6	0.11	159.26	1.629
6	260105 seeded temp sol_10c2d_2_2_03.lcd	Unknown	10c2d_2	A2	4.335	30310	1.205	10599	-----	-----	-----	4.1	4.6	0.09	129.16	1.543
7	260105 seeded temp sol_21c2d_1_3_04.lcd	Unknown	21c2d_1	B1	4.33	2226	0.009	1129	-----	-----	-----	4.1	4.6	0.01	13.96	1.334
8	260105 seeded temp sol_21c2d_2_4_01.lcd	Unknown	21c2d_2	B2	4.358	18085	0.684	6032	-----	-----	-----	4.1	4.6	0.16	41.78	1.808
9	260105 seeded temp sol_37c2d_1_1_5_02.lcd	Unknown	37c2d_B	C1	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
10	260105 seeded temp sol_37c2d_2_6_01.lcd	Unknown	37c2d_2	C2	4.21	25836	1.015	4499	-----	-----	-----	4.1	4.6	0.22	46.82	2.304
11	260105 seeded temp sol_60c2d_1_7_01.lcd	Unknown	60c2d_1	D1	4.223	317042	13.424	42197	-----	-----	-----	4.1	4.6	0.27	489.11	3.057
12	260105 seeded temp sol_60c2d_2_8_01.lcd	Unknown	60c2d_2	D2	4.228	347631	14.728	48053	-----	-----	-----	4.1	4.6	0.3	490.49	3.066
13	260105 seeded temp sol_80c2d_1_9_02.lcd	Unknown	80c2d_1	E1	4.21	1102878	46.911	147309	-----	-----	-----	4.1	4.6	0.22	2113.32	3.156
14	260105 seeded temp sol_80c2d_B_10_03.lcd	Unknown	80c2d_B	E2	4.21	192021	8.096	30106	-----	-----	-----	4.1	4.6	0	-----	2.788
15	260105 seeded temp sol_10c7d_1_11_04.lcd	Unknown	10c7d_1	A6	4.338	50115	2.049	16713	-----	-----	-----	4.1	4.6	0	-----	1.719
16	260105 seeded temp sol_10c7d_2_12_05.lcd	Unknown	10c7d_2	A7	4.328	79102	3.285	23368	-----	-----	-----	4.1	4.6	0	-----	1.884
17	260105 seeded temp sol_21c7d_1_13_06.lcd	Unknown	21c7d_1	B6	4.34	29824	1.185	8893	-----	-----	-----	4.1	4.6	0.1	113.4	1.99
18	260105 seeded temp sol_21c7d_2_14_07.lcd	Unknown	21c7d_2	B7	4.333	27728	1.095	8641	-----	-----	-----	4.1	4.6	0.21	53.31	2.501
19	260105 seeded temp sol_37c7d_1_15_08.lcd	Unknown	37c7d_1	C6	4.213	32045	1.279	5398	-----	-----	-----	4.1	4.6	0.17	73.56	2.491
