[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240428-std curve_0.11pmol ABm1-42_001_03.lcd
Output Date	1/20/2026
Output Time	11:06:00 PM

[File Information]
Type	Data File
Generated	4/28/2024 6:12:37 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:08 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/28/2024 6:13:10 PM
Sample Type	1:Standard
Level	1
Sample Name	0.11pmol ABm1-42
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B2
Injection Volume	3
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240428-std curve_0.11pmol ABm1-42_001_03.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240428-std curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4025140	25.33
0.517	4204712	26.46
0.533	4307873	27.11
0.550	4202536	26.45
0.567	4216860	26.54
0.583	4221927	26.57
0.600	4119036	25.92
0.617	4138208	26.04
0.633	4232281	26.64
0.650	4358950	27.43
0.667	4368632	27.49
0.683	4255749	26.78
0.700	4223624	26.58
0.717	4243662	26.71
0.733	4387868	27.61
0.750	4501456	28.33
0.767	4421000	27.82
0.783	4235299	26.65
0.800	4260969	26.82
0.817	4404330	27.72
0.833	4331120	27.26
0.850	4129455	25.99
0.867	4096260	25.78
0.883	4179884	26.31
0.900	4167178	26.23
0.917	4132161	26.01
0.933	4203230	26.45
0.950	4314591	27.15
0.967	4234472	26.65
0.983	4222050	26.57
1.000	4280983	26.94
1.017	4261292	26.82
1.033	4234374	26.65
1.050	4268010	26.86
1.067	4171771	26.25
1.083	4191387	26.38
1.100	4222727	26.58
1.117	4188700	26.36
1.133	4272739	26.89
1.150	4335848	27.29
1.167	4330738	27.25
1.183	4328135	27.24
1.200	4284602	26.96
1.217	4201910	26.44
1.233	4211630	26.51
1.250	4239660	26.68
1.267	4190711	26.37
1.283	4224603	26.59
1.300	4220584	26.56
1.317	4179588	26.30
1.333	4202586	26.45
1.350	4342062	27.33
1.367	4446577	27.98
1.383	4382602	27.58
1.400	4256910	26.79
1.417	4228944	26.61
1.433	4195991	26.41
1.450	4363302	27.46
1.467	4620048	29.08
1.483	4517366	28.43
1.500	4260046	26.81
1.517	4175987	26.28
1.533	4188257	26.36
1.550	4270744	26.88
1.567	4253478	26.77
1.583	4233056	26.64
1.600	4190195	26.37
1.617	4199612	26.43
