[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240428-std curve_9pmol ABm1-42_001_11.lcd
Output Date	1/20/2026
Output Time	11:05:58 PM

[File Information]
Type	Data File
Generated	4/28/2024 8:18:13 PM
Generated by	System Administrator
Modified	1/20/2026 10:56:08 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/28/2024 8:18:47 PM
Sample Type	1:Standard
Level	5
Sample Name	9pmol ABm1-42
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C2
Injection Volume	9
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240428-std curve_9pmol ABm1-42_001_11.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240428-std curve.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2770563	15.63
0.517	2716237	15.33
0.533	2676381	15.10
0.550	2675217	15.10
0.567	2594613	14.64
0.583	2555267	14.42
0.600	2566317	14.48
0.617	2586188	14.59
0.633	2604460	14.70
0.650	2592144	14.63
0.667	2640762	14.90
0.683	2658740	15.00
0.700	2588593	14.61
0.717	2616873	14.77
0.733	2626895	14.82
0.750	2597774	14.66
0.767	2651492	14.96
0.783	2782059	15.70
0.800	2819890	15.91
0.817	2771763	15.64
0.833	2792444	15.76
0.850	2756805	15.56
0.867	2603079	14.69
0.883	2546135	14.37
0.900	2614611	14.75
0.917	2618494	14.78
0.933	2554110	14.41
0.950	2581788	14.57
0.967	2632439	14.86
0.983	2663137	15.03
1.000	2738633	15.45
1.017	2834067	15.99
1.033	2783171	15.71
1.050	2722369	15.36
1.067	2740001	15.46
1.083	2728634	15.40
1.100	2641795	14.91
1.117	2581289	14.57
1.133	2548634	14.38
1.150	2579691	14.56
1.167	2615163	14.76
1.183	2727068	15.39
1.200	2704907	15.26
1.217	2679925	15.12
1.233	2764754	15.60
1.250	2845426	16.06
1.267	2802134	15.81
1.283	2727796	15.39
1.300	2666437	15.05
1.317	2622849	14.80
1.333	2643125	14.92
1.350	2700074	15.24
1.367	2742025	15.47
1.383	2770826	15.64
1.400	2801263	15.81
1.417	2783251	15.71
1.433	2752964	15.54
1.450	2751300	15.53
1.467	2735515	15.44
1.483	2790327	15.75
1.500	2768181	15.62
1.517	2636700	14.88
1.533	2600666	14.68
1.550	2673139	15.08
1.567	2682904	15.14
1.583	2629947	14.84
1.600	2728982	15.40
