[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240430 solABm1-42_45deg AB42_001_09.lcd
Output Date	1/27/2026
Output Time	3:17:03 PM

[File Information]
Type	Data File
Generated	4/30/2024 4:29:29 PM
Generated by	System Administrator
Modified	8/12/2024 4:05:51 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/30/2024 4:30:06 PM
Sample Type	0:Unknown
Level	0
Sample Name	45deg AB42
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C4
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240430 solABm1-42_45deg AB42_001_09.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240430 solABm1-42.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3518453	15.72
0.517	3505500	15.66
0.533	3358878	15.01
0.550	3204206	14.32
0.567	3166913	14.15
0.583	3045916	13.61
0.600	2987556	13.35
0.617	2936869	13.12
0.633	2805515	12.54
0.650	2746896	12.27
0.667	2796017	12.49
0.683	2689901	12.02
0.700	2631934	11.76
0.717	2613294	11.68
0.733	2586542	11.56
0.750	2582640	11.54
0.767	2693457	12.03
0.783	2630077	11.75
0.800	2568327	11.48
0.817	2656797	11.87
0.833	2659037	11.88
0.850	2552120	11.40
0.867	2536069	11.33
0.883	2552458	11.40
0.900	2608977	11.66
0.917	2632314	11.76
0.933	2600059	11.62
0.950	2560381	11.44
0.967	2582505	11.54
0.983	2612929	11.68
1.000	2666355	11.91
1.017	2695504	12.04
1.033	2740684	12.25
1.050	2735705	12.22
1.067	2581329	11.53
1.083	2504693	11.19
1.100	2571324	11.49
1.117	2706337	12.09
1.133	2790183	12.47
1.150	2702691	12.08
1.167	2564862	11.46
1.183	2578741	11.52
1.200	2693403	12.03
1.217	2735087	12.22
1.233	2679222	11.97
1.250	2576489	11.51
1.267	2580717	11.53
1.283	2670511	11.93
1.300	2675719	11.96
1.317	2699827	12.06
1.333	2738689	12.24
1.350	2724316	12.17
1.367	2648254	11.83
1.383	2677447	11.96
1.400	2695380	12.04
1.417	2615815	11.69
1.433	2614419	11.68
1.450	2648067	11.83
1.467	2664545	11.91
1.483	2692253	12.03
1.500	2731998	12.21
1.517	2688654	12.01
1.533	2647256	11.83
1.550	2654446	11.86
1.567	2696627	12.05
1.583	2800675	12.51
1.600	2890916	12.92
