[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240430 solABm1-42_50deg AB42_001_13.lcd
Output Date	1/27/2026
Output Time	3:17:04 PM

[File Information]
Type	Data File
Generated	4/30/2024 5:32:31 PM
Generated by	System Administrator
Modified	8/12/2024 4:05:51 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/30/2024 5:33:10 PM
Sample Type	0:Unknown
Level	0
Sample Name	50deg AB42
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	D5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240430 solABm1-42_50deg AB42_001_13.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240430 solABm1-42.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3482524	14.89
0.517	3687248	15.77
0.533	3658279	15.64
0.550	3435440	14.69
0.567	3215799	13.75
0.583	3107002	13.28
0.600	3076569	13.15
0.617	3023282	12.93
0.633	2964393	12.67
0.650	3096555	13.24
0.667	3197679	13.67
0.683	3077461	13.16
0.700	2930089	12.53
0.717	2795006	11.95
0.733	2624008	11.22
0.750	2507107	10.72
0.767	2468256	10.55
0.783	2492077	10.66
0.800	2575885	11.01
0.817	2585809	11.06
0.833	2559775	10.94
0.850	2551753	10.91
0.867	2500450	10.69
0.883	2547115	10.89
0.900	2701837	11.55
0.917	2706088	11.57
0.933	2657885	11.36
0.950	2669533	11.41
0.967	2600905	11.12
0.983	2618669	11.20
1.000	2701888	11.55
1.017	2634178	11.26
1.033	2602153	11.13
1.050	2623571	11.22
1.067	2615421	11.18
1.083	2633517	11.26
1.100	2637350	11.28
1.117	2716314	11.61
1.133	2763663	11.82
1.150	2753289	11.77
1.167	2737186	11.70
1.183	2599862	11.12
1.200	2524029	10.79
1.217	2664183	11.39
1.233	2763762	11.82
1.250	2767308	11.83
1.267	2774286	11.86
1.283	2774684	11.86
1.300	2745482	11.74
1.317	2738705	11.71
1.333	2723985	11.65
1.350	2726134	11.66
1.367	2739763	11.71
1.383	2755734	11.78
1.400	2667594	11.41
1.417	2612435	11.17
1.433	2696855	11.53
1.450	2724588	11.65
1.467	2690924	11.51
1.483	2703983	11.56
1.500	2701485	11.55
1.517	2684131	11.48
1.533	2648053	11.32
1.550	2611532	11.17
1.567	2604590	11.14
1.583	2620467	11.20
1.600	2674791	11.44
