[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240430 solABm1-42_55deg AB42_001_11.lcd
Output Date	1/27/2026
Output Time	3:17:04 PM

[File Information]
Type	Data File
Generated	4/30/2024 5:01:00 PM
Generated by	System Administrator
Modified	8/12/2024 4:05:51 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/30/2024 5:01:38 PM
Sample Type	0:Unknown
Level	0
Sample Name	55deg AB42
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	E4
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240430 solABm1-42_55deg AB42_001_11.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240430 solABm1-42.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3592235	17.13
0.517	3700791	17.65
0.533	3598287	17.16
0.550	3382149	16.13
0.567	3230110	15.41
0.583	3193162	15.23
0.600	3124225	14.90
0.617	2925524	13.95
0.633	3001254	14.31
0.650	3171831	15.13
0.667	3135282	14.95
0.683	2888540	13.78
0.700	2728964	13.02
0.717	2697861	12.87
0.733	2551215	12.17
0.750	2748446	13.11
0.767	3035560	14.48
0.783	2764372	13.18
0.800	2533726	12.08
0.817	2577182	12.29
0.833	2556437	12.19
0.850	2508029	11.96
0.867	2458801	11.73
0.883	2471460	11.79
0.900	2491467	11.88
0.917	2472544	11.79
0.933	2527707	12.06
0.950	2547506	12.15
0.967	2502642	11.94
0.983	2542416	12.13
1.000	2614523	12.47
1.017	2602940	12.41
1.033	2548725	12.16
1.050	2496971	11.91
1.067	2507629	11.96
1.083	2566739	12.24
1.100	2574764	12.28
1.117	2542680	12.13
1.133	2525895	12.05
1.150	2576963	12.29
1.167	2653339	12.66
1.183	2655112	12.66
1.200	2588961	12.35
1.217	2563252	12.23
1.233	2567328	12.24
1.250	2563770	12.23
1.267	2624182	12.52
1.283	2684609	12.80
1.300	2706410	12.91
1.317	2734513	13.04
1.333	2668709	12.73
1.350	2581610	12.31
1.367	2600565	12.40
1.383	2630753	12.55
1.400	2670256	12.74
1.417	2660837	12.69
1.433	2591117	12.36
1.450	2538179	12.11
1.467	2601285	12.41
1.483	2673434	12.75
1.500	2699173	12.87
1.517	2723089	12.99
1.533	2779035	13.25
1.550	2794799	13.33
1.567	2750210	13.12
1.583	2744391	13.09
1.600	2690158	12.83
