[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240430 solABm1-42_buffer_001_15.lcd
Output Date	1/27/2026
Output Time	3:17:05 PM

[File Information]
Type	Data File
Generated	4/30/2024 6:04:04 PM
Generated by	System Administrator
Modified	8/12/2024 4:05:51 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/30/2024 6:04:42 PM
Sample Type	2:Control
Level	0
Sample Name	buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A4
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240430 solABm1-42_buffer_001_15.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240430 solABm1-42.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3354432	15.54
0.517	3366435	15.59
0.533	3322569	15.39
0.550	3177617	14.72
0.567	3026917	14.02
0.583	2855173	13.23
0.600	2814037	13.03
0.617	2855388	13.23
0.633	2750245	12.74
0.650	2645596	12.25
0.667	2593548	12.01
0.683	2540946	11.77
0.700	2531563	11.73
0.717	2606501	12.07
0.733	2558089	11.85
0.750	2440644	11.31
0.767	2471631	11.45
0.783	2504221	11.60
0.800	2458642	11.39
0.817	2519093	11.67
0.833	2590709	12.00
0.850	2527846	11.71
0.867	2406597	11.15
0.883	2367452	10.97
0.900	2363847	10.95
0.917	2373113	10.99
0.933	2443474	11.32
0.950	2505677	11.61
0.967	2492141	11.54
0.983	2472262	11.45
1.000	2480980	11.49
1.017	2519814	11.67
1.033	2498840	11.57
1.050	2468681	11.43
1.067	2459182	11.39
1.083	2461183	11.40
1.100	2475737	11.47
1.117	2504428	11.60
1.133	2519182	11.67
1.150	2560123	11.86
1.167	2627331	12.17
1.183	2598517	12.04
1.200	2543920	11.78
1.217	2484513	11.51
1.233	2442764	11.31
1.250	2439594	11.30
1.267	2480060	11.49
1.283	2554283	11.83
1.300	2587509	11.99
1.317	2572257	11.91
1.333	2522236	11.68
1.350	2474061	11.46
1.367	2539800	11.76
1.383	2572952	11.92
1.400	2472121	11.45
1.417	2490422	11.54
1.433	2612491	12.10
1.450	2668817	12.36
1.467	2601489	12.05
1.483	2507473	11.61
1.500	2530405	11.72
1.517	2545363	11.79
1.533	2567380	11.89
1.550	2559745	11.86
1.567	2535163	11.74
1.583	2515874	11.65
