[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240430 solABm1-42_none_001_16.lcd
Output Date	1/27/2026
Output Time	3:17:05 PM

[File Information]
Type	Data File
Generated	4/30/2024 6:19:50 PM
Generated by	System Administrator
Modified	8/12/2024 4:05:51 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	4/30/2024 6:19:55 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240430 solABm1-42_none_001_16.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240430 solABm1-42.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2290526	31.78
0.517	2408839	33.42
0.533	2441180	33.87
0.550	2367384	32.84
0.567	2294827	31.84
0.583	2296720	31.86
0.600	2365851	32.82
0.617	2412404	33.47
0.633	2456313	34.08
0.650	2518943	34.95
0.667	2407213	33.40
0.683	2256533	31.31
0.700	2263106	31.40
0.717	2274479	31.55
0.733	2315842	32.13
0.750	2457421	34.09
0.767	2463270	34.17
0.783	2437405	33.82
0.800	2494389	34.61
0.817	2556267	35.46
0.833	2652545	36.80
0.850	2650042	36.77
0.867	2522672	35.00
0.883	2398470	33.27
0.900	2842177	39.43
0.917	3355677	46.55
0.933	2931704	40.67
0.950	2320221	32.19
0.967	2278003	31.60
0.983	2326434	32.28
1.000	2433855	33.77
1.017	2536810	35.19
1.033	2520986	34.97
1.050	2418993	33.56
1.067	2288721	31.75
1.083	2251461	31.24
1.100	2318845	32.17
1.117	2370614	32.89
1.133	2357540	32.71
1.150	2349139	32.59
1.167	2348798	32.59
1.183	2376634	32.97
1.200	2378469	33.00
1.217	2401022	33.31
1.233	2389236	33.15
1.250	2404645	33.36
1.267	2437268	33.81
1.283	2477184	34.37
1.300	2428827	33.70
1.317	2402506	33.33
1.333	2464574	34.19
1.350	2474858	34.33
1.367	2458318	34.11
1.383	2455203	34.06
1.400	2412663	33.47
1.417	2415867	33.52
1.433	2417946	33.55
1.450	2404007	33.35
1.467	2399406	33.29
1.483	2344454	32.53
1.500	2333147	32.37
1.517	2389127	33.15
1.533	2435709	33.79
1.550	2389584	33.15
1.567	2342782	32.50
1.583	2356895	32.70
