[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg_ABm1-42 55deg 3.5 days_003_03.lcd
Output Date	1/27/2026
Output Time	3:17:06 PM

[File Information]
Type	Data File
Generated	5/2/2024 11:36:36 AM
Generated by	System Administrator
Modified	8/12/2024 3:59:31 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/2/2024 11:37:15 AM
Sample Type	0:Unknown
Level	0
Sample Name	ABm1-42 55deg 3.5 days
Sample ID	003
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	F4
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg_ABm1-42 55deg 3.5 days_003_03.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	5728885	34.65
0.517	5868492	35.50
0.533	5740139	34.72
0.550	5436168	32.88
0.567	5486414	33.19
0.583	5650741	34.18
0.600	5558379	33.62
0.617	5224968	31.61
0.633	4966285	30.04
0.650	5213034	31.53
0.667	5584248	33.78
0.683	5560808	33.64
0.700	5248413	31.75
0.717	4885614	29.55
0.733	4678726	28.30
0.750	4444676	26.89
0.767	4368612	26.43
0.783	4317659	26.12
0.800	4085213	24.71
0.817	4099004	24.79
0.833	4289691	25.95
0.850	4346768	26.29
0.867	4412374	26.69
0.883	4543659	27.48
0.900	4639148	28.06
0.917	4490870	27.17
0.933	4325561	26.17
0.950	4309756	26.07
0.967	4447536	26.90
0.983	4580766	27.71
1.000	4771406	28.86
1.017	4964898	30.03
1.033	4720131	28.55
1.050	4485644	27.13
1.067	4525152	27.37
1.083	4399602	26.61
1.100	4187392	25.33
1.117	4096223	24.78
1.133	4193313	25.37
1.150	4353135	26.33
1.167	4277788	25.88
1.183	4174897	25.25
1.200	4280743	25.89
1.217	4312698	26.09
1.233	4169187	25.22
1.250	4143952	25.07
1.267	4271313	25.84
1.283	4263231	25.79
1.300	4110400	24.86
1.317	4140656	25.05
1.333	4345277	26.28
1.350	4483845	27.12
1.367	4404731	26.64
1.383	4305911	26.05
1.400	4396223	26.59
1.417	4454455	26.94
1.433	4264579	25.80
1.450	4178333	25.27
1.467	4306796	26.05
1.483	4383620	26.52
1.500	4504524	27.25
1.517	4727304	28.60
1.533	4631174	28.01
1.550	4400376	26.62
1.567	4329014	26.19
1.583	4284353	25.92
1.600	4068237	24.61
1.617	3986563	24.11
1.633	4128828	24.98
1.650	4254296	25.73
1.667	4093947	24.76
