[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg_none_001_01.lcd
Output Date	1/27/2026
Output Time	3:17:06 PM

[File Information]
Type	Data File
Generated	5/2/2024 11:05:16 AM
Generated by	System Administrator
Modified	8/12/2024 3:59:31 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/2/2024 11:05:43 AM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg_none_001_01.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	6874406	85.02
0.517	7135983	88.26
0.533	7227056	89.38
0.550	7161302	88.57
0.567	7296120	90.24
0.583	7544248	93.30
0.600	7635224	94.43
0.617	7536517	93.21
0.633	7495095	92.70
0.650	7478830	92.50
0.667	7414370	91.70
0.683	7417548	91.74
0.700	7806223	96.54
0.717	8085634	100.00
0.733	7517326	92.97
0.750	7031899	86.97
0.767	7251128	89.68
0.783	7468816	92.37
0.800	7308360	90.39
0.817	7034364	87.00
0.833	6908351	85.44
0.850	6613774	81.80
0.867	6553707	81.05
0.883	6509922	80.51
0.900	6260209	77.42
0.917	6187528	76.52
0.933	6203494	76.72
0.950	6218964	76.91
0.967	6306571	78.00
0.983	6297215	77.88
1.000	6319137	78.15
1.017	6402281	79.18
1.033	6711518	83.01
1.050	6937265	85.80
1.067	6881047	85.10
1.083	6809535	84.22
1.100	6558619	81.11
1.117	6382975	78.94
1.133	6379609	78.90
1.150	6452561	79.80
1.167	6519493	80.63
1.183	6642245	82.15
1.200	6773761	83.78
1.217	6654490	82.30
1.233	6622808	81.91
1.250	6720628	83.12
1.267	6673515	82.54
1.283	6568927	81.24
1.300	6905353	85.40
1.317	7093468	87.73
1.333	6828532	84.45
1.350	7088588	87.67
1.367	7463737	92.31
1.383	7215397	89.24
1.400	6899712	85.33
1.417	6532938	80.80
1.433	6433771	79.57
1.450	6616252	81.83
1.467	6595484	81.57
1.483	6312509	78.07
1.500	6025966	74.53
1.517	5904951	73.03
1.533	5928973	73.33
1.550	6069629	75.07
1.567	6157191	76.15
1.583	6094271	75.37
1.600	6123068	75.73
