[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg_none_005_05.lcd
Output Date	1/27/2026
Output Time	3:17:06 PM

[File Information]
Type	Data File
Generated	5/2/2024 12:08:10 PM
Generated by	System Administrator
Modified	8/12/2024 3:59:32 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/2/2024 12:08:15 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	005
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg_none_005_05.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240502 solABm1-42 t2 55deg.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2805456	37.70
0.517	3002040	40.35
0.533	3251908	43.70
0.550	3217255	43.24
0.567	3011937	40.48
0.583	2894588	38.90
0.600	2894241	38.90
0.617	3011258	40.47
0.633	3219058	43.26
0.650	3451084	46.38
0.667	3478487	46.75
0.683	3341273	44.90
0.700	3179142	42.73
0.717	3042024	40.88
0.733	2937168	39.47
0.750	2900281	38.98
0.767	2998347	40.30
0.783	3092003	41.55
0.800	3120277	41.93
0.817	3146118	42.28
0.833	3184124	42.79
0.850	3125967	42.01
0.867	3156071	42.42
0.883	3175706	42.68
0.900	3129721	42.06
0.917	3143223	42.24
0.933	3152278	42.36
0.950	3246683	43.63
0.967	3205473	43.08
0.983	3108966	41.78
1.000	3113386	41.84
1.017	3163432	42.51
1.033	3135171	42.13
1.050	3171291	42.62
1.067	3313951	44.54
1.083	3357603	45.12
1.100	3290120	44.22
1.117	3134906	42.13
1.133	3017858	40.56
1.150	3052425	41.02
1.167	3183716	42.79
1.183	3292186	44.25
1.200	3438422	46.21
1.217	3548788	47.69
1.233	3421384	45.98
1.250	3283058	44.12
1.267	3233149	43.45
1.283	3249399	43.67
1.300	3250035	43.68
1.317	3221091	43.29
1.333	3309115	44.47
1.350	3277161	44.04
1.367	3217980	43.25
1.383	3209155	43.13
1.400	3254925	43.74
1.417	3161618	42.49
1.433	3009608	40.45
1.450	2962986	39.82
1.467	2955400	39.72
1.483	3016224	40.54
1.500	3147222	42.30
1.517	3123373	41.98
1.533	3224016	43.33
1.550	3350225	45.03
1.567	3295254	44.29
1.583	3285542	44.16
1.600	3328139	44.73
