[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol QC_10uM ABm1-42_002_04.lcd
Output Date	1/20/2026
Output Time	10:51:47 PM

[File Information]
Type	Data File
Generated	5/10/2024 6:42:24 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/10/2024 6:42:57 PM
Sample Type	0:Unknown
Level	0
Sample Name	10uM ABm1-42
Sample ID	002
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B1
Injection Volume	1
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol QC_10uM ABm1-42_002_04.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3600601	26.85
0.517	3795696	28.30
0.533	3932839	29.32
0.550	3871671	28.87
0.567	3927135	29.28
0.583	4085355	30.46
0.600	4741045	35.35
0.617	5082169	37.89
0.633	4630138	34.52
0.650	4015894	29.94
0.667	4087192	30.47
0.683	4195653	31.28
0.700	4286858	31.96
0.717	4457900	33.24
0.733	4444472	33.14
0.750	4133776	30.82
0.767	3998893	29.82
0.783	3943471	29.40
0.800	3902110	29.09
0.817	3978960	29.67
0.833	3909837	29.15
0.850	3825868	28.53
0.867	3899227	29.07
0.883	4030472	30.05
0.900	4087947	30.48
0.917	4029669	30.05
0.933	4159164	31.01
0.950	4346981	32.41
0.967	4307983	32.12
0.983	4149222	30.94
1.000	4074306	30.38
1.017	4057407	30.25
1.033	4038737	30.11
1.050	4063534	30.30
1.067	4260133	31.76
1.083	4299719	32.06
1.100	4092826	30.52
1.117	3891376	29.01
1.133	3923111	29.25
1.150	3937768	29.36
1.167	3885939	28.97
1.183	3956155	29.50
1.200	4069915	30.35
1.217	4086500	30.47
1.233	4160409	31.02
1.250	4126253	30.77
1.267	4236028	31.58
1.283	4593369	34.25
1.300	4622771	34.47
1.317	4429267	33.03
1.333	4283407	31.94
1.350	4138207	30.86
1.367	4094852	30.53
1.383	4165895	31.06
1.400	4324342	32.24
1.417	4382740	32.68
1.433	4356620	32.48
1.450	4390262	32.73
1.467	4367392	32.56
1.483	4414154	32.91
1.500	4449467	33.18
1.517	4392888	32.75
1.533	4514599	33.66
1.550	4525583	33.74
1.567	4304148	32.09
1.583	4155913	30.99
1.600	4156039	30.99
1.617	4252467	31.71
