[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol QC_buffer240510_001_02.lcd
Output Date	1/20/2026
Output Time	10:51:46 PM

[File Information]
Type	Data File
Generated	5/10/2024 6:11:02 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/10/2024 6:11:36 PM
Sample Type	2:Control
Level	0
Sample Name	buffer240510
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A1
Injection Volume	10
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol QC_buffer240510_001_02.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	5042677	20.18
0.517	5358147	21.44
0.533	5505904	22.03
0.550	5427806	21.72
0.567	5281887	21.13
0.583	5270644	21.09
0.600	5341089	21.37
0.617	5290757	21.17
0.633	5317753	21.28
0.650	5387285	21.56
0.667	5302155	21.22
0.683	5247546	21.00
0.700	5149685	20.61
0.717	5088393	20.36
0.733	5108261	20.44
0.750	5053775	20.22
0.767	4911973	19.65
0.783	4876019	19.51
0.800	4982988	19.94
0.817	5018835	20.08
0.833	5015778	20.07
0.850	4991500	19.97
0.867	4992853	19.98
0.883	4995839	19.99
0.900	5082056	20.34
0.917	5196139	20.79
0.933	5210264	20.85
0.950	5215130	20.87
0.967	5195912	20.79
0.983	5183310	20.74
1.000	5123823	20.50
1.017	5051432	20.21
1.033	5070058	20.29
1.050	5186680	20.75
1.067	5325022	21.31
1.083	5371181	21.49
1.100	5298730	21.20
1.117	5184690	20.75
1.133	5063907	20.26
1.150	5008691	20.04
1.167	5156678	20.63
1.183	5168316	20.68
1.200	5064020	20.26
1.217	5004595	20.03
1.233	4972637	19.90
1.250	5053235	20.22
1.267	5067390	20.28
1.283	5012122	20.06
1.300	5039135	20.16
1.317	5073492	20.30
1.333	4973330	19.90
1.350	4923974	19.70
1.367	4975958	19.91
1.383	4974312	19.90
1.400	4995558	19.99
1.417	5023952	20.10
1.433	4987407	19.96
1.450	4934618	19.75
1.467	4991264	19.97
1.483	4973740	19.90
1.500	5043311	20.18
1.517	5096179	20.39
1.533	5044343	20.18
1.550	5083733	20.34
1.567	5095886	20.39
1.583	5064005	20.26
1.600	5182923	20.74
