[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol QC_none_001_07.lcd
Output Date	1/20/2026
Output Time	10:51:46 PM

[File Information]
Type	Data File
Generated	5/10/2024 7:29:27 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/10/2024 7:29:32 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol QC_none_001_07.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol QC.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3418225	37.67
0.517	3564338	39.28
0.533	3578821	39.43
0.550	3695707	40.72
0.567	3894484	42.91
0.583	3830061	42.20
0.600	3522659	38.82
0.617	3435927	37.86
0.633	3600730	39.68
0.650	3602831	39.70
0.667	3517539	38.76
0.683	3594424	39.61
0.700	3711058	40.89
0.717	3751534	41.34
0.733	3698588	40.75
0.750	3628086	39.98
0.767	3727069	41.07
0.783	3853243	42.46
0.800	3804716	41.92
0.817	3760371	41.44
0.833	3663278	40.37
0.850	3586481	39.52
0.867	3643284	40.15
0.883	3741883	41.23
0.900	3694993	40.72
0.917	3563430	39.27
0.933	3572893	39.37
0.950	3576979	39.41
0.967	3486659	38.42
0.983	3438035	37.88
1.000	3612032	39.80
1.017	3720058	40.99
1.033	3666272	40.40
1.050	3656725	40.29
1.067	3649099	40.21
1.083	3593513	39.60
1.100	3445719	37.97
1.117	3539213	39.00
1.133	3767102	41.51
1.150	3791258	41.78
1.167	3617106	39.86
1.183	3607126	39.75
1.200	3748206	41.30
1.217	3666641	40.40
1.233	3579204	39.44
1.250	3630740	40.01
1.267	3627006	39.97
1.283	3536244	38.97
1.300	3464724	38.18
1.317	3622000	39.91
1.333	3711027	40.89
1.350	3563123	39.26
1.367	3505672	38.63
1.383	3623483	39.93
1.400	3559662	39.22
1.417	3497295	38.54
1.433	3566996	39.30
1.450	3657063	40.30
1.467	3740953	41.22
1.483	3815847	42.05
1.500	3696265	40.73
1.517	3533617	38.94
1.533	3492176	38.48
1.550	3545077	39.06
1.567	3555756	39.18
1.583	3478359	38.33
