[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_10deg-buffer_001_20.lcd
Output Date	1/20/2026
Output Time	10:51:45 PM

[File Information]
Type	Data File
Generated	5/13/2024 4:03:42 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 4:04:20 PM
Sample Type	0:Unknown
Level	0
Sample Name	10deg-buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_10deg-buffer_001_20.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3517769	13.15
0.517	3490839	13.05
0.533	3357316	12.55
0.550	3224645	12.05
0.567	3120874	11.66
0.583	3060580	11.44
0.600	3045664	11.38
0.617	2877895	10.75
0.633	2712054	10.14
0.650	2662714	9.95
0.667	2538943	9.49
0.683	2468945	9.23
0.700	2470046	9.23
0.717	2502633	9.35
0.733	2598237	9.71
0.750	2575322	9.62
0.767	2547251	9.52
0.783	2633098	9.84
0.800	2784441	10.41
0.817	2885368	10.78
0.833	2769721	10.35
0.850	2722301	10.17
0.867	2764997	10.33
0.883	2721315	10.17
0.900	2638433	9.86
0.917	2517227	9.41
0.933	2486418	9.29
0.950	2467935	9.22
0.967	2418589	9.04
0.983	2604086	9.73
1.000	2881063	10.77
1.017	2827985	10.57
1.033	2686948	10.04
1.050	2634277	9.84
1.067	2601254	9.72
1.083	2619733	9.79
1.100	2638119	9.86
1.117	2630286	9.83
1.133	2625963	9.81
1.150	2676936	10.00
1.167	2671644	9.98
1.183	2606910	9.74
1.200	2628401	9.82
1.217	2678368	10.01
1.233	2652776	9.91
1.250	2667563	9.97
1.267	2756485	10.30
1.283	2749674	10.28
1.300	2658643	9.94
1.317	2571743	9.61
1.333	2516968	9.41
1.350	2467635	9.22
1.367	2486929	9.29
1.383	2595760	9.70
1.400	2607591	9.74
1.417	2616650	9.78
1.433	2655232	9.92
1.450	2683196	10.03
1.467	2800336	10.47
1.483	2835686	10.60
1.500	2740902	10.24
1.517	2659034	9.94
1.533	2613269	9.77
1.550	2637748	9.86
1.567	2774083	10.37
1.583	2871698	10.73
1.600	2835422	10.60
1.617	2815372	10.52
1.633	2805003	10.48
