[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_10deg_001_02.lcd
Output Date	1/20/2026
Output Time	10:51:45 PM

[File Information]
Type	Data File
Generated	5/13/2024 11:19:49 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 11:20:28 AM
Sample Type	0:Unknown
Level	0
Sample Name	10deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A2
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_10deg_001_02.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	5346464	21.66
0.517	5911256	23.95
0.533	6308865	25.56
0.550	5671856	22.98
0.567	5109816	20.70
0.583	5016021	20.32
0.600	4801994	19.46
0.617	4677109	18.95
0.633	4715414	19.11
0.650	4573197	18.53
0.667	4412482	17.88
0.683	4329140	17.54
0.700	4398710	17.82
0.717	4373523	17.72
0.733	4109591	16.65
0.750	3917550	15.87
0.767	3913682	15.86
0.783	3822613	15.49
0.800	3715414	15.05
0.817	3743157	15.17
0.833	3947838	16.00
0.850	4081193	16.54
0.867	4050138	16.41
0.883	4007815	16.24
0.900	3972369	16.10
0.917	3858183	15.63
0.933	3870233	15.68
0.950	3931012	15.93
0.967	3938598	15.96
0.983	3929996	15.92
1.000	3894039	15.78
1.017	3828620	15.51
1.033	3804791	15.42
1.050	3847505	15.59
1.067	3989589	16.17
1.083	3925955	15.91
1.100	3727221	15.10
1.117	3750185	15.20
1.133	3868053	15.67
1.150	3862824	15.65
1.167	3804150	15.41
1.183	3819212	15.47
1.200	3802766	15.41
1.217	3844991	15.58
1.233	3976110	16.11
1.250	3958726	16.04
1.267	3868218	15.67
1.283	3859854	15.64
1.300	4001450	16.21
1.317	4107037	16.64
1.333	4052637	16.42
1.350	4047364	16.40
1.367	3988340	16.16
1.383	3939461	15.96
1.400	3973650	16.10
1.417	4091884	16.58
1.433	4158675	16.85
1.450	4096884	16.60
1.467	4088609	16.57
1.483	4185451	16.96
1.500	3973778	16.10
1.517	3779215	15.31
1.533	3832285	15.53
1.550	3923999	15.90
1.567	3977449	16.12
1.583	3932175	15.93
1.600	3906038	15.83
1.617	3900462	15.80
