[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_10deg_001_08.lcd
Output Date	1/20/2026
Output Time	10:51:45 PM

[File Information]
Type	Data File
Generated	5/13/2024 12:54:26 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 12:55:06 PM
Sample Type	0:Unknown
Level	0
Sample Name	10deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A3
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_10deg_001_08.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3707293	13.88
0.517	3720155	13.93
0.533	3669744	13.74
0.550	3484931	13.05
0.567	3380558	12.65
0.583	3328296	12.46
0.600	3156655	11.82
0.617	3033072	11.35
0.633	2955279	11.06
0.650	2944056	11.02
0.667	2892957	10.83
0.683	2712861	10.16
0.700	2646627	9.91
0.717	2695383	10.09
0.733	2720734	10.18
0.750	2698786	10.10
0.767	2676522	10.02
0.783	2656800	9.95
0.800	2672997	10.01
0.817	2726063	10.20
0.833	2720358	10.18
0.850	2765900	10.35
0.867	2781838	10.41
0.883	2761807	10.34
0.900	2724605	10.20
0.917	2689428	10.07
0.933	2656249	9.94
0.950	2671682	10.00
0.967	2769829	10.37
0.983	2883220	10.79
1.000	2868037	10.74
1.017	2817591	10.55
1.033	2823816	10.57
1.050	2807707	10.51
1.067	2799838	10.48
1.083	2866565	10.73
1.100	2893470	10.83
1.117	2786202	10.43
1.133	2773782	10.38
1.150	2725514	10.20
1.167	2584446	9.67
1.183	2604871	9.75
1.200	2686731	10.06
1.217	2706174	10.13
1.233	2763761	10.35
1.250	2831349	10.60
1.267	2912407	10.90
1.283	2919762	10.93
1.300	2822303	10.56
1.317	2755013	10.31
1.333	2793603	10.46
1.350	2798999	10.48
1.367	2846571	10.66
1.383	2894513	10.84
1.400	2953868	11.06
1.417	2944355	11.02
1.433	2858761	10.70
1.450	2859570	10.70
1.467	2916603	10.92
1.483	2905853	10.88
1.500	2922646	10.94
1.517	2949477	11.04
1.533	2916959	10.92
1.550	2844608	10.65
1.567	2761499	10.34
1.583	2731617	10.23
1.600	2785085	10.43
1.617	3036377	11.37
