[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_18deg-buffer_001_21.lcd
Output Date	1/20/2026
Output Time	10:51:44 PM

[File Information]
Type	Data File
Generated	5/13/2024 4:19:27 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 4:20:06 PM
Sample Type	0:Unknown
Level	0
Sample Name	18deg-buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_18deg-buffer_001_21.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3609698	13.24
0.517	3705266	13.59
0.533	3712575	13.62
0.550	3551592	13.02
0.567	3350445	12.29
0.583	3113525	11.42
0.600	3107335	11.40
0.617	3074781	11.28
0.633	2917144	10.70
0.650	2876321	10.55
0.667	2822465	10.35
0.683	2738220	10.04
0.700	2700172	9.90
0.717	2712118	9.95
0.733	2692982	9.88
0.750	2722829	9.99
0.767	2732725	10.02
0.783	2662548	9.76
0.800	2700117	9.90
0.817	2769203	10.16
0.833	2701199	9.91
0.850	2563388	9.40
0.867	2548918	9.35
0.883	2597663	9.53
0.900	2566385	9.41
0.917	2530989	9.28
0.933	2573224	9.44
0.950	2636896	9.67
0.967	2714455	9.95
0.983	2786104	10.22
1.000	2786397	10.22
1.017	2735165	10.03
1.033	2670592	9.79
1.050	2626353	9.63
1.067	2699256	9.90
1.083	2750367	10.09
1.100	2822702	10.35
1.117	2910601	10.67
1.133	2811076	10.31
1.150	2681815	9.84
1.167	2685244	9.85
1.183	2742286	10.06
1.200	2778792	10.19
1.217	2837368	10.41
1.233	2767950	10.15
1.250	2667784	9.78
1.267	2779948	10.19
1.283	2913258	10.68
1.300	2787040	10.22
1.317	2676322	9.81
1.333	2659398	9.75
1.350	2604773	9.55
1.367	2599090	9.53
1.383	2744169	10.06
1.400	2859413	10.49
1.417	2838182	10.41
1.433	2713428	9.95
1.450	2656126	9.74
1.467	2705987	9.92
1.483	2763609	10.14
1.500	2801431	10.27
1.517	2813023	10.32
1.533	2792813	10.24
1.550	2732384	10.02
1.567	2777778	10.19
1.583	2805548	10.29
1.600	2734316	10.03
1.617	2682351	9.84
1.633	2623366	9.62
