[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_18deg_001_03.lcd
Output Date	1/20/2026
Output Time	10:51:44 PM

[File Information]
Type	Data File
Generated	5/13/2024 11:35:36 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:18 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 11:36:15 AM
Sample Type	0:Unknown
Level	0
Sample Name	18deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B2
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_18deg_001_03.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4773064	19.47
0.517	4828970	19.70
0.533	4610959	18.81
0.550	4354476	17.77
0.567	4260094	17.38
0.583	4157641	16.96
0.600	3964076	16.17
0.617	3956303	16.14
0.633	3939773	16.07
0.650	3807820	15.54
0.667	3713269	15.15
0.683	3551697	14.49
0.700	3508217	14.31
0.717	3543463	14.46
0.733	3488860	14.23
0.750	3470040	14.16
0.767	3515676	14.34
0.783	3469751	14.16
0.800	3382546	13.80
0.817	3354264	13.69
0.833	3409400	13.91
0.850	3440458	14.04
0.867	3451397	14.08
0.883	3416969	13.94
0.900	3290847	13.43
0.917	3212440	13.11
0.933	3242744	13.23
0.950	3277529	13.37
0.967	3247931	13.25
0.983	3303773	13.48
1.000	3397595	13.86
1.017	3445363	14.06
1.033	3418398	13.95
1.050	3316871	13.53
1.067	3401689	13.88
1.083	3558708	14.52
1.100	3545798	14.47
1.117	3365297	13.73
1.133	3326821	13.57
1.150	3528876	14.40
1.167	3562835	14.54
1.183	3465549	14.14
1.200	3491085	14.24
1.217	3523906	14.38
1.233	3453730	14.09
1.250	3406180	13.90
1.267	3434404	14.01
1.283	3515389	14.34
1.300	3651643	14.90
1.317	3693529	15.07
1.333	3671591	14.98
1.350	3614884	14.75
1.367	3511544	14.33
1.383	3532954	14.41
1.400	3517887	14.35
1.417	3450618	14.08
1.433	3519713	14.36
1.450	3609098	14.72
1.467	3719442	15.17
1.483	3799648	15.50
1.500	3666480	14.96
1.517	3541862	14.45
1.533	3545115	14.46
1.550	3564564	14.54
1.567	3429130	13.99
1.583	3300386	13.47
1.600	3310845	13.51
1.617	3340110	13.63
