[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_18deg_001_15.lcd
Output Date	1/20/2026
Output Time	10:51:44 PM

[File Information]
Type	Data File
Generated	5/13/2024 2:44:51 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 2:45:29 PM
Sample Type	0:Unknown
Level	0
Sample Name	18deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B4
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_18deg_001_15.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3724897	13.86
0.517	3743306	13.93
0.533	3734259	13.89
0.550	3543544	13.18
0.567	3315756	12.34
0.583	3188445	11.86
0.600	3087711	11.49
0.617	2962466	11.02
0.633	2917086	10.85
0.650	2836478	10.55
0.667	2681954	9.98
0.683	2665997	9.92
0.700	2715011	10.10
0.717	2809619	10.45
0.733	2830593	10.53
0.750	2746197	10.22
0.767	2726792	10.15
0.783	2815318	10.47
0.800	2809834	10.45
0.817	2755008	10.25
0.833	2781859	10.35
0.850	2741104	10.20
0.867	2738270	10.19
0.883	2818449	10.49
0.900	2752314	10.24
0.917	2661514	9.90
0.933	2706573	10.07
0.950	2728311	10.15
0.967	2764955	10.29
0.983	2865688	10.66
1.000	2845105	10.59
1.017	2801824	10.42
1.033	2817252	10.48
1.050	2816025	10.48
1.067	2782653	10.35
1.083	2745885	10.22
1.100	2690406	10.01
1.117	2804397	10.43
1.133	2914826	10.84
1.150	2872985	10.69
1.167	2818577	10.49
1.183	2790444	10.38
1.200	2750777	10.23
1.217	2758956	10.26
1.233	2829102	10.53
1.250	2910071	10.83
1.267	2885738	10.74
1.283	2788593	10.38
1.300	2763197	10.28
1.317	2803196	10.43
1.333	2800829	10.42
1.350	2838590	10.56
1.367	2818731	10.49
1.383	2767164	10.30
1.400	2812026	10.46
1.417	2913777	10.84
1.433	3002297	11.17
1.450	2917748	10.86
1.467	2755234	10.25
1.483	2737873	10.19
1.500	2761844	10.28
1.517	2730265	10.16
1.533	2764470	10.29
1.550	2809035	10.45
1.567	2917682	10.86
1.583	2924241	10.88
1.600	2864889	10.66
1.617	2912453	10.84
