[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_23deg-buffer_001_22.lcd
Output Date	1/20/2026
Output Time	10:51:43 PM

[File Information]
Type	Data File
Generated	5/13/2024 4:35:14 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 4:35:52 PM
Sample Type	0:Unknown
Level	0
Sample Name	23deg-buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_23deg-buffer_001_22.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3351172	12.55
0.517	3413645	12.79
0.533	3459227	12.96
0.550	3352973	12.56
0.567	3309995	12.40
0.583	3282133	12.29
0.600	3062713	11.47
0.617	2954865	11.07
0.633	2864848	10.73
0.650	2709478	10.15
0.667	2663405	9.98
0.683	2675286	10.02
0.700	2612174	9.78
0.717	2705065	10.13
0.733	2835748	10.62
0.750	2753920	10.32
0.767	2581481	9.67
0.783	2558543	9.58
0.800	2618646	9.81
0.817	2654655	9.94
0.833	2605274	9.76
0.850	2595709	9.72
0.867	2586316	9.69
0.883	2577132	9.65
0.900	2581155	9.67
0.917	2591234	9.71
0.933	2625458	9.83
0.950	2658848	9.96
0.967	2594487	9.72
0.983	2531915	9.48
1.000	2585127	9.68
1.017	2660354	9.96
1.033	2629896	9.85
1.050	2542810	9.52
1.067	2579799	9.66
1.083	2620121	9.81
1.100	2541516	9.52
1.117	2540664	9.52
1.133	2618404	9.81
1.150	2637000	9.88
1.167	2592636	9.71
1.183	2550380	9.55
1.200	2537515	9.50
1.217	2602947	9.75
1.233	2613180	9.79
1.250	2557743	9.58
1.267	2619489	9.81
1.283	2674744	10.02
1.300	2723814	10.20
1.317	2771823	10.38
1.333	2793173	10.46
1.350	2791582	10.46
1.367	2651547	9.93
1.383	2573614	9.64
1.400	2668945	10.00
1.417	2730818	10.23
1.433	2662623	9.97
1.450	2635246	9.87
1.467	2619513	9.81
1.483	2634121	9.87
1.500	2707483	10.14
1.517	2753271	10.31
1.533	2777737	10.40
1.550	2884342	10.80
1.567	2771316	10.38
1.583	2697612	10.10
1.600	2764506	10.35
1.617	2798654	10.48
1.633	2806424	10.51
