[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_23deg_001_04.lcd
Output Date	1/20/2026
Output Time	10:51:43 PM

[File Information]
Type	Data File
Generated	5/13/2024 11:51:23 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 11:52:01 AM
Sample Type	0:Unknown
Level	0
Sample Name	23deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C2
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_23deg_001_04.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4318350	17.26
0.517	4487392	17.94
0.533	4621936	18.48
0.550	4421611	17.68
0.567	4124337	16.49
0.583	4107659	16.42
0.600	4154517	16.61
0.617	3945129	15.77
0.633	3610309	14.43
0.650	3457905	13.82
0.667	3447292	13.78
0.683	3504857	14.01
0.700	3522960	14.08
0.717	3411443	13.64
0.733	3334732	13.33
0.750	3342579	13.36
0.767	3260681	13.04
0.783	3306171	13.22
0.800	3472798	13.88
0.817	3497070	13.98
0.833	3532667	14.12
0.850	3558725	14.23
0.867	3499338	13.99
0.883	3459783	13.83
0.900	3417688	13.66
0.917	3356070	13.42
0.933	3345574	13.38
0.950	3432023	13.72
0.967	3492984	13.97
0.983	3308402	13.23
1.000	3165182	12.65
1.017	3214650	12.85
1.033	3296439	13.18
1.050	3303394	13.21
1.067	3311963	13.24
1.083	3421158	13.68
1.100	3479761	13.91
1.117	3485835	13.94
1.133	4330932	17.32
1.150	5062040	20.24
1.167	4201223	16.80
1.183	3376530	13.50
1.200	3355903	13.42
1.217	3405338	13.61
1.233	3386938	13.54
1.250	3445917	13.78
1.267	3510652	14.04
1.283	3357829	13.42
1.300	3285858	13.14
1.317	3453634	13.81
1.333	3504373	14.01
1.350	3346428	13.38
1.367	3238705	12.95
1.383	3396613	13.58
1.400	3486815	13.94
1.417	3282416	13.12
1.433	3125934	12.50
1.450	3285218	13.13
1.467	3471844	13.88
1.483	3297658	13.18
1.500	3117377	12.46
1.517	3161661	12.64
1.533	3378109	13.51
1.550	3602429	14.40
1.567	3513848	14.05
1.583	3300442	13.20
1.600	3246922	12.98
1.617	3269436	13.07
