[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_23deg_001_10.lcd
Output Date	1/20/2026
Output Time	10:51:43 PM

[File Information]
Type	Data File
Generated	5/13/2024 1:25:59 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 1:26:37 PM
Sample Type	0:Unknown
Level	0
Sample Name	23deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C3
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_23deg_001_10.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3955680	15.49
0.517	3844696	15.06
0.533	3655599	14.32
0.550	3543994	13.88
0.567	3407337	13.34
0.583	3264828	12.79
0.600	3136182	12.28
0.617	3009609	11.79
0.633	2811192	11.01
0.650	2732901	10.70
0.667	2890116	11.32
0.683	2931704	11.48
0.700	2871673	11.25
0.717	2845209	11.14
0.733	2784516	10.90
0.750	2676795	10.48
0.767	2658834	10.41
0.783	2744031	10.75
0.800	2782243	10.90
0.817	2862991	11.21
0.833	2985682	11.69
0.850	2988574	11.70
0.867	2946723	11.54
0.883	2899721	11.36
0.900	2823706	11.06
0.917	2775515	10.87
0.933	2814832	11.02
0.950	2881986	11.29
0.967	2810862	11.01
0.983	2702535	10.58
1.000	2779531	10.88
1.017	2902081	11.36
1.033	2830798	11.09
1.050	2673199	10.47
1.067	2680757	10.50
1.083	2717935	10.64
1.100	2738632	10.72
1.117	2726874	10.68
1.133	2708818	10.61
1.150	2683652	10.51
1.167	2642796	10.35
1.183	2648893	10.37
1.200	2792561	10.94
1.217	2899698	11.36
1.233	2846179	11.15
1.250	2775797	10.87
1.267	2832904	11.09
1.283	2864858	11.22
1.300	2843504	11.14
1.317	2892138	11.33
1.333	2910981	11.40
1.350	2844109	11.14
1.367	2764839	10.83
1.383	2690726	10.54
1.400	2702896	10.58
1.417	2749804	10.77
1.433	2713320	10.63
1.450	2731420	10.70
1.467	2783419	10.90
1.483	2779830	10.89
1.500	2715782	10.64
1.517	2780302	10.89
1.533	2861829	11.21
1.550	2837721	11.11
1.567	2822525	11.05
1.583	2908680	11.39
1.600	2915194	11.42
1.617	2749549	10.77
