[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_30deg-buffer_001_23.lcd
Output Date	1/20/2026
Output Time	10:51:42 PM

[File Information]
Type	Data File
Generated	5/13/2024 4:50:59 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 4:51:36 PM
Sample Type	0:Unknown
Level	0
Sample Name	30deg-buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	D5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_30deg-buffer_001_23.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3752167	13.44
0.517	3740320	13.40
0.533	3415569	12.24
0.550	3125449	11.20
0.567	3070733	11.00
0.583	3071864	11.00
0.600	3028354	10.85
0.617	2823474	10.11
0.633	2653019	9.50
0.650	2626077	9.41
0.667	2686472	9.62
0.683	2685891	9.62
0.700	2642402	9.47
0.717	2618572	9.38
0.733	2589343	9.28
0.750	2627845	9.41
0.767	2621456	9.39
0.783	2545960	9.12
0.800	2497238	8.95
0.817	2480517	8.89
0.833	2473209	8.86
0.850	2520925	9.03
0.867	2562534	9.18
0.883	2522363	9.04
0.900	2452403	8.79
0.917	2497612	8.95
0.933	2841742	10.18
0.950	3148093	11.28
0.967	2869500	10.28
0.983	2629520	9.42
1.000	2748387	9.85
1.017	2778899	9.95
1.033	2805796	10.05
1.050	2739600	9.81
1.067	2674724	9.58
1.083	2601326	9.32
1.100	2497981	8.95
1.117	2528567	9.06
1.133	2557694	9.16
1.150	2585268	9.26
1.167	2649123	9.49
1.183	2685400	9.62
1.200	2718591	9.74
1.217	2785466	9.98
1.233	2829711	10.14
1.250	2814725	10.08
1.267	2787290	9.98
1.283	2822008	10.11
1.300	2792631	10.00
1.317	2743142	9.83
1.333	2761430	9.89
1.350	2738678	9.81
1.367	2668189	9.56
1.383	2698896	9.67
1.400	2747868	9.84
1.417	2697679	9.66
1.433	2647934	9.49
1.450	2706231	9.69
1.467	2829530	10.14
1.483	2832586	10.15
1.500	2714556	9.72
1.517	2657911	9.52
1.533	2697430	9.66
1.550	2716100	9.73
1.567	2743066	9.83
1.583	2771593	9.93
1.600	2770758	9.93
1.617	3114998	11.16
1.633	3461920	12.40
