[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_30deg_001_05.lcd
Output Date	1/20/2026
Output Time	10:51:42 PM

[File Information]
Type	Data File
Generated	5/13/2024 12:07:09 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 12:07:47 PM
Sample Type	0:Unknown
Level	0
Sample Name	30deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	D2
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_30deg_001_05.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4206632	17.26
0.517	4259766	17.48
0.533	4093198	16.80
0.550	3833010	15.73
0.567	3778819	15.51
0.583	3728919	15.30
0.600	3622975	14.87
0.617	3461225	14.20
0.633	3310950	13.59
0.650	3209602	13.17
0.667	3245020	13.32
0.683	3303567	13.56
0.700	3145305	12.91
0.717	3010371	12.35
0.733	2982848	12.24
0.750	2945709	12.09
0.767	2984159	12.25
0.783	2976715	12.22
0.800	3003065	12.32
0.817	3015935	12.38
0.833	2937056	12.05
0.850	2945899	12.09
0.867	2975748	12.21
0.883	2915649	11.97
0.900	2835012	11.63
0.917	2836125	11.64
0.933	2947065	12.09
0.950	3007707	12.34
0.967	2928934	12.02
0.983	2914635	11.96
1.000	2965150	12.17
1.017	2924091	12.00
1.033	2934421	12.04
1.050	2980003	12.23
1.067	3003292	12.33
1.083	3045848	12.50
1.100	3039443	12.47
1.117	3014502	12.37
1.133	3012758	12.36
1.150	2981184	12.23
1.167	3002549	12.32
1.183	3009025	12.35
1.200	3024518	12.41
1.217	2976441	12.22
1.233	2943716	12.08
1.250	2965975	12.17
1.267	2980021	12.23
1.283	3017054	12.38
1.300	3060064	12.56
1.317	3086735	12.67
1.333	3020279	12.39
1.350	2970470	12.19
1.367	2962662	12.16
1.383	2962471	12.16
1.400	3054172	12.53
1.417	3223482	13.23
1.433	3220289	13.22
1.450	3100880	12.73
1.467	3126476	12.83
1.483	3157550	12.96
1.500	3073233	12.61
1.517	2944364	12.08
1.533	2916002	11.97
1.550	2935230	12.05
1.567	2965519	12.17
1.583	3024402	12.41
1.600	3178684	13.05
1.617	3256489	13.36
