[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_40deg-buffer_001_24.lcd
Output Date	1/20/2026
Output Time	10:51:41 PM

[File Information]
Type	Data File
Generated	5/13/2024 5:06:44 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 5:07:21 PM
Sample Type	0:Unknown
Level	0
Sample Name	40deg-buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	E5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_40deg-buffer_001_24.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4854765	16.87
0.517	4128049	14.34
0.533	3519113	12.23
0.550	3342260	11.61
0.567	3264115	11.34
0.583	3134817	10.89
0.600	2988817	10.38
0.617	2818723	9.79
0.633	2739178	9.52
0.650	2801990	9.74
0.667	2873483	9.98
0.683	2741329	9.52
0.700	2613124	9.08
0.717	2613924	9.08
0.733	2617880	9.10
0.750	2562868	8.90
0.767	2543738	8.84
0.783	2528310	8.78
0.800	2543752	8.84
0.817	2633370	9.15
0.833	2701875	9.39
0.850	2724200	9.47
0.867	3135306	10.89
0.883	3503037	12.17
0.900	3191239	11.09
0.917	2828113	9.83
0.933	2709218	9.41
0.950	2568183	8.92
0.967	2499217	8.68
0.983	2583245	8.98
1.000	2655821	9.23
1.017	2748016	9.55
1.033	2814831	9.78
1.050	2757705	9.58
1.067	2615326	9.09
1.083	2505748	8.71
1.100	2514520	8.74
1.117	2657517	9.23
1.133	2716815	9.44
1.150	2631336	9.14
1.167	2530325	8.79
1.183	2551822	8.87
1.200	2608749	9.06
1.217	2627474	9.13
1.233	2645230	9.19
1.250	2653635	9.22
1.267	2641583	9.18
1.283	2527988	8.78
1.300	2533786	8.80
1.317	2608064	9.06
1.333	2716562	9.44
1.350	2859483	9.94
1.367	2952070	10.26
1.383	2884534	10.02
1.400	2830286	9.83
1.417	2862282	9.94
1.433	2825351	9.82
1.450	2833455	9.84
1.467	2908768	10.11
1.483	2979187	10.35
1.500	2958731	10.28
1.517	2852414	9.91
1.533	2749584	9.55
1.550	2708806	9.41
1.567	2676862	9.30
1.583	2692993	9.36
1.600	2766609	9.61
1.617	2790088	9.69
1.633	2713663	9.43
