[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_40deg_001_12.lcd
Output Date	1/20/2026
Output Time	10:51:41 PM

[File Information]
Type	Data File
Generated	5/13/2024 1:57:32 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:17 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 1:58:12 PM
Sample Type	0:Unknown
Level	0
Sample Name	40deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	E3
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_40deg_001_12.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3724366	15.25
0.517	3716081	15.22
0.533	3605544	14.77
0.550	3411646	13.97
0.567	3271674	13.40
0.583	3143126	12.87
0.600	3008421	12.32
0.617	2885866	11.82
0.633	2799222	11.46
0.650	2905803	11.90
0.667	3005896	12.31
0.683	2967186	12.15
0.700	2799420	11.47
0.717	2710019	11.10
0.733	2685452	11.00
0.750	2708889	11.09
0.767	2653115	10.87
0.783	2700433	11.06
0.800	2812755	11.52
0.817	2769557	11.34
0.833	2790077	11.43
0.850	2804499	11.49
0.867	2723575	11.15
0.883	2656466	10.88
0.900	2706956	11.09
0.917	2815501	11.53
0.933	2803885	11.48
0.950	2698667	11.05
0.967	2712711	11.11
0.983	2719739	11.14
1.000	2708682	11.09
1.017	2748856	11.26
1.033	2813891	11.52
1.050	2787736	11.42
1.067	2765682	11.33
1.083	2763809	11.32
1.100	2771994	11.35
1.117	2775222	11.37
1.133	2821938	11.56
1.150	2827542	11.58
1.167	2765891	11.33
1.183	2765867	11.33
1.200	2805528	11.49
1.217	2772976	11.36
1.233	2739219	11.22
1.250	2763747	11.32
1.267	2749643	11.26
1.283	2771105	11.35
1.300	2936242	12.03
1.317	3049961	12.49
1.333	2916437	11.94
1.350	2812813	11.52
1.367	2865349	11.74
1.383	2903344	11.89
1.400	2887690	11.83
1.417	2891628	11.84
1.433	2939386	12.04
1.450	2898474	11.87
1.467	2885535	11.82
1.483	2853480	11.69
1.500	2869668	11.75
1.517	2953289	12.10
1.533	2897678	11.87
1.550	2848062	11.66
1.567	2873720	11.77
1.583	2798288	11.46
1.600	2731218	11.19
1.617	2749462	11.26
