[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_70deg-buffer_001_25.lcd
Output Date	1/20/2026
Output Time	10:51:40 PM

[File Information]
Type	Data File
Generated	5/13/2024 5:22:29 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 5:23:07 PM
Sample Type	0:Unknown
Level	0
Sample Name	70deg-buffer
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	F5
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_70deg-buffer_001_25.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4385697	17.78
0.517	4389938	17.80
0.533	4202431	17.04
0.550	3895619	15.80
0.567	3694988	14.98
0.583	3597792	14.59
0.600	3464072	14.05
0.617	3278961	13.29
0.633	3416175	13.85
0.650	3851134	15.61
0.667	4117312	16.69
0.683	3892400	15.78
0.700	3494799	14.17
0.717	3171628	12.86
0.733	2988290	12.12
0.750	2962724	12.01
0.767	2925801	11.86
0.783	2859711	11.59
0.800	2802007	11.36
0.817	2797400	11.34
0.833	2808114	11.39
0.850	2705198	10.97
0.867	2560499	10.38
0.883	2573195	10.43
0.900	2642832	10.72
0.917	2675488	10.85
0.933	2678549	10.86
0.950	2756950	11.18
0.967	2764322	11.21
0.983	2655082	10.77
1.000	2596984	10.53
1.017	2676367	10.85
1.033	2718221	11.02
1.050	2734914	11.09
1.067	2747621	11.14
1.083	2717350	11.02
1.100	2716868	11.02
1.117	2656083	10.77
1.133	2585666	10.48
1.150	2584574	10.48
1.167	2679799	10.87
1.183	2743950	11.13
1.200	2719523	11.03
1.217	2652441	10.75
1.233	2618921	10.62
1.250	2681925	10.87
1.267	2761877	11.20
1.283	2721084	11.03
1.300	2657741	10.78
1.317	2611353	10.59
1.333	2618932	10.62
1.350	2700953	10.95
1.367	2812902	11.41
1.383	2849352	11.55
1.400	2881524	11.68
1.417	2877389	11.67
1.433	2832055	11.48
1.450	2790517	11.31
1.467	2743091	11.12
1.483	2759132	11.19
1.500	2789309	11.31
1.517	2720360	11.03
1.533	2618747	10.62
1.550	2615393	10.60
1.567	2703783	10.96
1.583	2693218	10.92
1.600	2627981	10.66
1.617	2640019	10.70
1.633	2701372	10.95
