[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_70deg_001_19.lcd
Output Date	1/20/2026
Output Time	10:51:39 PM

[File Information]
Type	Data File
Generated	5/13/2024 3:47:56 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 3:48:35 PM
Sample Type	0:Unknown
Level	0
Sample Name	70deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	F4
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_70deg_001_19.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4467579	17.71
0.517	4539747	18.00
0.533	4391239	17.41
0.550	4117526	16.33
0.567	4001441	15.87
0.583	4011957	15.91
0.600	3898324	15.46
0.617	3691591	14.64
0.633	3666470	14.54
0.650	3951560	15.67
0.667	4102254	16.26
0.683	3863197	15.32
0.700	3548182	14.07
0.717	3373622	13.38
0.733	3301564	13.09
0.750	3290939	13.05
0.767	3152452	12.50
0.783	3000278	11.90
0.800	2879858	11.42
0.817	2858419	11.33
0.833	2922776	11.59
0.850	2927259	11.61
0.867	2844803	11.28
0.883	2775050	11.00
0.900	2808108	11.13
0.917	2972169	11.78
0.933	3043412	12.07
0.950	2882611	11.43
0.967	2809120	11.14
0.983	2940474	11.66
1.000	2955606	11.72
1.017	2834751	11.24
1.033	2809637	11.14
1.050	2849250	11.30
1.067	2892169	11.47
1.083	2873256	11.39
1.100	2886428	11.44
1.117	2886147	11.44
1.133	2796141	11.09
1.150	2794366	11.08
1.167	2880226	11.42
1.183	2876018	11.40
1.200	2874511	11.40
1.217	2941262	11.66
1.233	2938164	11.65
1.250	2831079	11.22
1.267	2801067	11.11
1.283	2917939	11.57
1.300	2980847	11.82
1.317	2966500	11.76
1.333	2936801	11.64
1.350	2971497	11.78
1.367	3063005	12.14
1.383	3085710	12.23
1.400	2999025	11.89
1.417	2903755	11.51
1.433	2923380	11.59
1.450	3000307	11.90
1.467	3013961	11.95
1.483	2982472	11.83
1.500	2923991	11.59
1.517	2927432	11.61
1.533	2922859	11.59
1.550	2865584	11.36
1.567	2860523	11.34
1.583	2856894	11.33
1.600	2806282	11.13
1.617	2772939	10.99
