[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_none_001_01.lcd
Output Date	1/20/2026
Output Time	10:51:39 PM

[File Information]
Type	Data File
Generated	5/13/2024 11:04:27 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 11:04:41 AM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_none_001_01.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	7764605	84.65
0.517	8251455	89.95
0.533	8681282	94.64
0.550	8807995	96.02
0.567	8801631	95.95
0.583	8789535	95.82
0.600	8724608	95.11
0.617	8527066	92.96
0.633	8293990	90.42
0.650	8181527	89.19
0.667	7788006	84.90
0.683	7309658	79.69
0.700	7167725	78.14
0.717	7004846	76.36
0.733	6864264	74.83
0.750	6698739	73.03
0.767	6668430	72.70
0.783	6612687	72.09
0.800	6426148	70.05
0.817	6223252	67.84
0.833	6093923	66.43
0.850	6030393	65.74
0.867	5873611	64.03
0.883	5851269	63.79
0.900	5871393	64.01
0.917	5901617	64.34
0.933	5876303	64.06
0.950	5833203	63.59
0.967	5988576	65.28
0.983	5989985	65.30
1.000	5783799	63.05
1.017	5736406	62.53
1.033	5791859	63.14
1.050	5905841	64.38
1.067	6039201	65.84
1.083	6175074	67.32
1.100	6143912	66.98
1.117	6155945	67.11
1.133	6059855	66.06
1.150	5982760	65.22
1.167	6100490	66.50
1.183	6286172	68.53
1.200	6191531	67.50
1.217	5878240	64.08
1.233	5728504	62.45
1.250	5800369	63.23
1.267	5856751	63.85
1.283	5809015	63.33
1.300	5800999	63.24
1.317	5830445	63.56
1.333	5729688	62.46
1.350	5637437	61.46
1.367	5589031	60.93
1.383	5642780	61.51
1.400	5701512	62.15
1.417	5527213	60.25
1.433	5365605	58.49
1.450	5445221	59.36
1.467	5498298	59.94
1.483	5510110	60.07
1.500	5598979	61.04
1.517	5680470	61.93
1.533	5553395	60.54
1.550	5403469	58.91
1.567	5376558	58.61
1.583	5380524	58.66
1.600	5540025	60.39
