[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_none_001_26.lcd
Output Date	1/20/2026
Output Time	10:51:39 PM

[File Information]
Type	Data File
Generated	5/13/2024 5:38:15 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/13/2024 5:38:20 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h)_none_001_26.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t1(65h).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2425420	30.27
0.517	2508908	31.31
0.533	2554259	31.88
0.550	2581539	32.22
0.567	2586347	32.28
0.583	2524307	31.51
0.600	2635539	32.89
0.617	2720876	33.96
0.633	2541644	31.72
0.650	2490450	31.08
0.667	2608517	32.56
0.683	2585816	32.27
0.700	2580960	32.21
0.717	2567169	32.04
0.733	2509358	31.32
0.750	2542467	31.73
0.767	2593477	32.37
0.783	2616817	32.66
0.800	2610566	32.58
0.817	2583710	32.25
0.833	2572486	32.11
0.850	2540294	31.71
0.867	2538650	31.68
0.883	2592840	32.36
0.900	2649335	33.07
0.917	2641089	32.96
0.933	2652662	33.11
0.950	2614240	32.63
0.967	2563590	32.00
0.983	2538775	31.69
1.000	2574680	32.13
1.017	2579550	32.20
1.033	2517803	31.42
1.050	2565082	32.01
1.067	2654755	33.13
1.083	2629876	32.82
1.100	2586120	32.28
1.117	2534953	31.64
1.133	2552257	31.85
1.150	2638870	32.94
1.167	2584206	32.25
1.183	2481898	30.98
1.200	2518227	31.43
1.217	2561081	31.96
1.233	2489708	31.07
1.250	2484360	31.01
1.267	2603587	32.50
1.283	2648639	33.06
1.300	2665466	33.27
1.317	2610207	32.58
1.333	2570376	32.08
1.350	2594275	32.38
1.367	2639196	32.94
1.383	2575935	32.15
1.400	2531192	31.59
1.417	2574120	32.13
1.433	2676209	33.40
1.450	2683900	33.50
1.467	2643315	32.99
1.483	2696949	33.66
1.500	2698171	33.68
1.517	2680347	33.45
1.533	2626580	32.78
1.550	2673644	33.37
1.567	2744225	34.25
1.583	2626212	32.78
1.600	2559581	31.95
