[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_10 deg buffer_014_20.lcd
Output Date	1/20/2026
Output Time	10:51:39 PM

[File Information]
Type	Data File
Generated	5/15/2024 11:01:35 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 11:02:12 PM
Sample Type	0:Unknown
Level	0
Sample Name	10 deg buffer
Sample ID	014
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A11
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_10 deg buffer_014_20.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3880190	17.04
0.517	3712532	16.30
0.533	3551271	15.59
0.550	3482897	15.29
0.567	3392978	14.90
0.583	3273204	14.37
0.600	3159481	13.87
0.617	3062699	13.45
0.633	3083816	13.54
0.650	3064361	13.46
0.667	3024019	13.28
0.683	2931813	12.87
0.700	3023445	13.28
0.717	3093437	13.58
0.733	2956477	12.98
0.750	2890391	12.69
0.767	2858419	12.55
0.783	2703708	11.87
0.800	2636731	11.58
0.817	2708926	11.90
0.833	2790737	12.25
0.850	2818007	12.37
0.867	2816062	12.37
0.883	2843992	12.49
0.900	2919519	12.82
0.917	2866760	12.59
0.933	2874953	12.62
0.950	2894429	12.71
0.967	2860237	12.56
0.983	2823731	12.40
1.000	2868727	12.60
1.017	2867098	12.59
1.033	2857291	12.55
1.050	2846699	12.50
1.067	2933984	12.88
1.083	2946422	12.94
1.100	2934271	12.88
1.117	2899587	12.73
1.133	2980166	13.09
1.150	3115226	13.68
1.167	3012802	13.23
1.183	2927285	12.85
1.200	2879483	12.64
1.217	2876002	12.63
1.233	2856949	12.55
1.250	2894755	12.71
1.267	2913047	12.79
1.283	2931900	12.87
1.300	2992804	13.14
1.317	2931159	12.87
1.333	2791466	12.26
1.350	2740661	12.03
1.367	2816066	12.37
1.383	2930657	12.87
1.400	2984533	13.11
1.417	2939153	12.91
1.433	2927863	12.86
1.450	3008999	13.21
1.467	2976344	13.07
1.483	2955258	12.98
1.500	2963808	13.01
1.517	2958816	12.99
1.533	2978619	13.08
1.550	2986711	13.12
1.567	2882867	12.66
1.583	2885177	12.67
1.600	2980283	13.09
1.617	3048594	13.39
1.633	3027855	13.30
