[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_10 deg_001_08.lcd
Output Date	1/20/2026
Output Time	10:51:38 PM

[File Information]
Type	Data File
Generated	5/15/2024 7:52:29 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 7:53:08 PM
Sample Type	0:Unknown
Level	0
Sample Name	10 deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	A9
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_10 deg_001_08.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4350486	20.10
0.517	3951833	18.26
0.533	3650624	16.87
0.550	3970133	18.35
0.567	4284646	19.80
0.583	3759719	17.37
0.600	3241271	14.98
0.617	3027090	13.99
0.633	2900786	13.40
0.650	2981545	13.78
0.667	3001603	13.87
0.683	2936708	13.57
0.700	2921535	13.50
0.717	2937662	13.57
0.733	2906127	13.43
0.750	2891602	13.36
0.767	2748724	12.70
0.783	2629828	12.15
0.800	2680875	12.39
0.817	2696931	12.46
0.833	2734282	12.63
0.850	2737374	12.65
0.867	2737071	12.65
0.883	2715302	12.55
0.900	2739503	12.66
0.917	2854125	13.19
0.933	2935418	13.56
0.950	3037136	14.03
0.967	3249249	15.01
0.983	3294398	15.22
1.000	3086731	14.26
1.017	2935658	13.57
1.033	2970012	13.72
1.050	2994581	13.84
1.067	2865263	13.24
1.083	2962138	13.69
1.100	3123650	14.43
1.117	2984391	13.79
1.133	2842389	13.13
1.150	2766343	12.78
1.167	2739765	12.66
1.183	2746722	12.69
1.200	2767387	12.79
1.217	2796136	12.92
1.233	2861734	13.22
1.250	2861676	13.22
1.267	2793537	12.91
1.283	2782152	12.86
1.300	2793804	12.91
1.317	2816450	13.01
1.333	2907382	13.43
1.350	2896141	13.38
1.367	2764367	12.77
1.383	2663500	12.31
1.400	2648584	12.24
1.417	2729716	12.61
1.433	2909092	13.44
1.450	3045702	14.07
1.467	2981772	13.78
1.483	2852964	13.18
1.500	2836041	13.11
1.517	2878588	13.30
1.533	2924299	13.51
1.550	2954454	13.65
1.567	2976780	13.76
1.583	2989604	13.81
1.600	3270968	15.11
1.617	3559759	16.45
