[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_18 deg buffer_015_21.lcd
Output Date	1/20/2026
Output Time	10:51:38 PM

[File Information]
Type	Data File
Generated	5/15/2024 11:17:20 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:16 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 11:17:58 PM
Sample Type	0:Unknown
Level	0
Sample Name	18 deg buffer
Sample ID	015
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B11
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_18 deg buffer_015_21.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3701701	16.59
0.517	3623424	16.24
0.533	3417287	15.31
0.550	3303329	14.80
0.567	3220339	14.43
0.583	3263545	14.62
0.600	3140234	14.07
0.617	3053500	13.68
0.633	2978080	13.34
0.650	2962002	13.27
0.667	2999053	13.44
0.683	2965092	13.29
0.700	2920975	13.09
0.717	2829145	12.68
0.733	2691583	12.06
0.750	2712788	12.16
0.767	2756196	12.35
0.783	3125503	14.00
0.800	3619614	16.22
0.817	3270396	14.65
0.833	2802030	12.56
0.850	2772857	12.42
0.867	2837857	12.72
0.883	2837513	12.71
0.900	2801254	12.55
0.917	2794724	12.52
0.933	2744718	12.30
0.950	2805532	12.57
0.967	2849500	12.77
0.983	2839398	12.72
1.000	2843583	12.74
1.017	2773020	12.43
1.033	2848130	12.76
1.050	2947282	13.21
1.067	2959708	13.26
1.083	2911895	13.05
1.100	2841566	12.73
1.117	2877410	12.89
1.133	2868546	12.85
1.150	2837378	12.71
1.167	2846583	12.75
1.183	2862347	12.83
1.200	2830090	12.68
1.217	2927153	13.12
1.233	3068237	13.75
1.250	3100068	13.89
1.267	3124816	14.00
1.283	3278279	14.69
1.300	4168112	18.68
1.317	4845315	21.71
1.333	4126236	18.49
1.350	3390128	15.19
1.367	3249113	14.56
1.383	3174946	14.23
1.400	3211107	14.39
1.417	3226875	14.46
1.433	3261490	14.61
1.450	3353249	15.02
1.467	3424767	15.35
1.483	3306892	14.82
1.500	3118750	13.97
1.517	2969471	13.31
1.533	2939153	13.17
1.550	2997654	13.43
1.567	3020928	13.54
1.583	3027177	13.56
1.600	2972619	13.32
1.617	2923167	13.10
1.633	2914994	13.06
