[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_18 deg_001_09.lcd
Output Date	1/20/2026
Output Time	10:51:37 PM

[File Information]
Type	Data File
Generated	5/15/2024 8:08:16 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 8:08:54 PM
Sample Type	0:Unknown
Level	0
Sample Name	18 deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	B9
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_18 deg_001_09.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3361019	15.54
0.517	3501532	16.19
0.533	3648443	16.87
0.550	3622574	16.75
0.567	3298415	15.25
0.583	3011853	13.93
0.600	3011048	13.92
0.617	2994167	13.85
0.633	2869723	13.27
0.650	2807561	12.98
0.667	2741644	12.68
0.683	2721462	12.58
0.700	2744098	12.69
0.717	2717324	12.57
0.733	2779154	12.85
0.750	2751726	12.72
0.767	2672696	12.36
0.783	2721399	12.58
0.800	2790640	12.90
0.817	2727560	12.61
0.833	2575420	11.91
0.850	2490721	11.52
0.867	2529926	11.70
0.883	2568975	11.88
0.900	2534246	11.72
0.917	2514373	11.63
0.933	2555200	11.82
0.950	2622511	12.13
0.967	2733264	12.64
0.983	2730601	12.63
1.000	2653355	12.27
1.017	2660433	12.30
1.033	2683561	12.41
1.050	2632699	12.17
1.067	2635544	12.19
1.083	2770809	12.81
1.100	2939077	13.59
1.117	2829377	13.08
1.133	2657395	12.29
1.150	2655989	12.28
1.167	2777586	12.84
1.183	2802025	12.96
1.200	2735247	12.65
1.217	2739263	12.67
1.233	2695364	12.46
1.250	2631322	12.17
1.267	2626527	12.15
1.283	2696624	12.47
1.300	2731608	12.63
1.317	2703791	12.50
1.333	2683819	12.41
1.350	2769363	12.81
1.367	2826666	13.07
1.383	2765400	12.79
1.400	2680755	12.40
1.417	2677974	12.38
1.433	2775054	12.83
1.450	2770052	12.81
1.467	2654885	12.28
1.483	2727434	12.61
1.500	2791691	12.91
1.517	2744396	12.69
1.533	2739279	12.67
1.550	2764528	12.78
1.567	2731195	12.63
1.583	2683880	12.41
1.600	2777714	12.84
1.617	2821326	13.05
