[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_23 deg buffer_016_22.lcd
Output Date	1/20/2026
Output Time	10:51:37 PM

[File Information]
Type	Data File
Generated	5/15/2024 11:33:06 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 11:33:44 PM
Sample Type	0:Unknown
Level	0
Sample Name	23 deg buffer
Sample ID	016
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C11
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_23 deg buffer_016_22.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3909656	17.15
0.517	3882925	17.03
0.533	3814542	16.73
0.550	3597626	15.78
0.567	3445083	15.11
0.583	3396910	14.90
0.600	3360915	14.74
0.617	3197428	14.02
0.633	3082568	13.52
0.650	2972932	13.04
0.667	2896860	12.70
0.683	2873507	12.60
0.700	2788774	12.23
0.717	2736045	12.00
0.733	2798243	12.27
0.750	2823206	12.38
0.767	2765003	12.13
0.783	2770202	12.15
0.800	2807478	12.31
0.817	2802732	12.29
0.833	2813420	12.34
0.850	2950010	12.94
0.867	3047992	13.37
0.883	3032446	13.30
0.900	2901523	12.73
0.917	2924458	12.83
0.933	2941102	12.90
0.950	2888709	12.67
0.967	2905601	12.74
0.983	3007724	13.19
1.000	3023385	13.26
1.017	2950461	12.94
1.033	2952364	12.95
1.050	2917470	12.80
1.067	2812465	12.33
1.083	2853418	12.51
1.100	2820179	12.37
1.117	2760016	12.10
1.133	2800045	12.28
1.150	2856722	12.53
1.167	2896456	12.70
1.183	2926083	12.83
1.200	2981309	13.08
1.217	3031380	13.29
1.233	2973939	13.04
1.250	2906359	12.75
1.267	2928115	12.84
1.283	2911508	12.77
1.300	2911941	12.77
1.317	2934779	12.87
1.333	2946912	12.92
1.350	2907099	12.75
1.367	2839113	12.45
1.383	2845088	12.48
1.400	2959385	12.98
1.417	3089224	13.55
1.433	3062368	13.43
1.450	2959261	12.98
1.467	2887124	12.66
1.483	2858740	12.54
1.500	2947257	12.93
1.517	3027075	13.28
1.533	2995418	13.14
1.550	2981291	13.08
1.567	2970535	13.03
1.583	2925601	12.83
1.600	2931217	12.86
1.617	2996637	13.14
1.633	3122041	13.69
