[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_23 deg_001_04.lcd
Output Date	1/20/2026
Output Time	10:51:36 PM

[File Information]
Type	Data File
Generated	5/15/2024 6:49:27 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 6:50:05 PM
Sample Type	0:Unknown
Level	0
Sample Name	23 deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	C8
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_23 deg_001_04.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3819507	16.09
0.517	3775541	15.90
0.533	3670216	15.46
0.550	3595100	15.14
0.567	3488148	14.69
0.583	3372034	14.20
0.600	3261682	13.74
0.617	3187439	13.43
0.633	3178903	13.39
0.650	3149172	13.26
0.667	3093485	13.03
0.683	2926556	12.33
0.700	2745063	11.56
0.717	2731613	11.51
0.733	2848296	12.00
0.750	2843349	11.98
0.767	2775784	11.69
0.783	2786973	11.74
0.800	2773135	11.68
0.817	2772224	11.68
0.833	2791153	11.76
0.850	2778889	11.71
0.867	2799125	11.79
0.883	2828159	11.91
0.900	2734546	11.52
0.917	2774547	11.69
0.933	2925604	12.32
0.950	2887437	12.16
0.967	2745417	11.56
0.983	2698633	11.37
1.000	2766547	11.65
1.017	2826022	11.90
1.033	2864160	12.06
1.050	2920340	12.30
1.067	2886246	12.16
1.083	2817622	11.87
1.100	2876643	12.12
1.117	2963305	12.48
1.133	2892010	12.18
1.150	2819943	11.88
1.167	2752732	11.60
1.183	2763048	11.64
1.200	2873179	12.10
1.217	2897095	12.20
1.233	2922158	12.31
1.250	2920132	12.30
1.267	2823845	11.89
1.283	2855551	12.03
1.300	2921994	12.31
1.317	2898917	12.21
1.333	2897907	12.21
1.350	2911238	12.26
1.367	2895621	12.20
1.383	2894856	12.19
1.400	2937389	12.37
1.417	2918875	12.29
1.433	2946474	12.41
1.450	2961231	12.47
1.467	2939703	12.38
1.483	2890750	12.18
1.500	2839918	11.96
1.517	2787467	11.74
1.533	2780692	11.71
1.550	2818406	11.87
1.567	2894856	12.19
1.583	2918334	12.29
1.600	2851303	12.01
1.617	2863760	12.06
