[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_30 deg buffer_017_23.lcd
Output Date	1/20/2026
Output Time	10:51:36 PM

[File Information]
Type	Data File
Generated	5/15/2024 11:48:52 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 11:49:30 PM
Sample Type	0:Unknown
Level	0
Sample Name	30 deg buffer
Sample ID	017
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	D11
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_30 deg buffer_017_23.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3892399	16.57
0.517	3868099	16.47
0.533	3743329	15.94
0.550	3520366	14.99
0.567	3324477	14.15
0.583	3189855	13.58
0.600	3140487	13.37
0.617	3073687	13.08
0.633	2958738	12.60
0.650	3064550	13.05
0.667	3195891	13.60
0.683	3202699	13.63
0.700	3140717	13.37
0.717	2982752	12.70
0.733	2839279	12.09
0.750	2847510	12.12
0.767	2895844	12.33
0.783	2844577	12.11
0.800	2724934	11.60
0.817	2768897	11.79
0.833	2857074	12.16
0.850	2809261	11.96
0.867	2728610	11.62
0.883	2795807	11.90
0.900	2884073	12.28
0.917	2893434	12.32
0.933	2890839	12.31
0.950	2927116	12.46
0.967	2932995	12.49
0.983	2834722	12.07
1.000	2825224	12.03
1.017	2808789	11.96
1.033	2791164	11.88
1.050	3480627	14.82
1.067	4145721	17.65
1.083	3475849	14.80
1.100	2982050	12.69
1.117	3064692	13.05
1.133	2915801	12.41
1.150	2745447	11.69
1.167	2811267	11.97
1.183	2861004	12.18
1.200	2880528	12.26
1.217	2909548	12.39
1.233	2818928	12.00
1.250	2827745	12.04
1.267	2961188	12.61
1.283	2960228	12.60
1.300	2912240	12.40
1.317	2960785	12.60
1.333	2975668	12.67
1.350	2918385	12.42
1.367	2906615	12.37
1.383	3020554	12.86
1.400	3068279	13.06
1.417	2996108	12.75
1.433	3029724	12.90
1.450	3118071	13.27
1.467	3018850	12.85
1.483	2900336	12.35
1.500	2891806	12.31
1.517	2907630	12.38
1.533	2939700	12.51
1.550	2924914	12.45
1.567	2925422	12.45
1.583	3074261	13.09
1.600	3170903	13.50
1.617	3146094	13.39
1.633	3039678	12.94
