[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_30 deg_001_05.lcd
Output Date	1/20/2026
Output Time	10:51:35 PM

[File Information]
Type	Data File
Generated	5/15/2024 7:05:13 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 7:05:51 PM
Sample Type	0:Unknown
Level	0
Sample Name	30 deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	D8
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_30 deg_001_05.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3812124	15.81
0.517	3807894	15.79
0.533	3756093	15.58
0.550	3848655	15.96
0.567	3817384	15.83
0.583	3510006	14.56
0.600	3313256	13.74
0.617	3262290	13.53
0.633	3263158	13.53
0.650	3206915	13.30
0.667	3208080	13.31
0.683	3197780	13.26
0.700	2984638	12.38
0.717	2910311	12.07
0.733	3011761	12.49
0.750	2935926	12.18
0.767	2822718	11.71
0.783	2772954	11.50
0.800	2900045	12.03
0.817	3060924	12.70
0.833	2960657	12.28
0.850	2794395	11.59
0.867	2847069	11.81
0.883	2901363	12.03
0.900	2827823	11.73
0.917	2794925	11.59
0.933	2823427	11.71
0.950	2711403	11.25
0.967	2691682	11.16
0.983	2886172	11.97
1.000	3036984	12.60
1.017	3038478	12.60
1.033	2946721	12.22
1.050	2908900	12.07
1.067	2845865	11.80
1.083	2804216	11.63
1.100	2921983	12.12
1.117	2983625	12.38
1.133	2859709	11.86
1.150	2828229	11.73
1.167	2824304	11.71
1.183	2801441	11.62
1.200	2883233	11.96
1.217	2932703	12.16
1.233	3031994	12.58
1.250	3074777	12.75
1.267	2982333	12.37
1.283	3004187	12.46
1.300	3025953	12.55
1.317	2953036	12.25
1.333	2985120	12.38
1.350	3048684	12.65
1.367	2913666	12.09
1.383	2887245	11.98
1.400	3017011	12.51
1.417	2966601	12.30
1.433	2849421	11.82
1.450	2830338	11.74
1.467	2900146	12.03
1.483	2972356	12.33
1.500	2890633	11.99
1.517	2810000	11.66
1.533	2876723	11.93
1.550	2890208	11.99
1.567	2815022	11.68
1.583	2823298	11.71
1.600	2833663	11.75
1.617	2889693	11.99
