[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_40 deg buffer_018_24.lcd
Output Date	1/20/2026
Output Time	10:51:35 PM

[File Information]
Type	Data File
Generated	5/16/2024 12:04:37 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/16/2024 12:05:15 AM
Sample Type	0:Unknown
Level	0
Sample Name	40 deg buffer
Sample ID	018
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	E11
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_40 deg buffer_018_24.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3893553	16.71
0.517	3925499	16.85
0.533	3863985	16.59
0.550	3626770	15.57
0.567	3452895	14.82
0.583	3433271	14.74
0.600	3349293	14.38
0.617	3200636	13.74
0.633	3151162	13.53
0.650	3197797	13.73
0.667	3226276	13.85
0.683	3100068	13.31
0.700	3027792	13.00
0.717	3030323	13.01
0.733	2937880	12.61
0.750	2881741	12.37
0.767	2852191	12.24
0.783	2805638	12.04
0.800	2798105	12.01
0.817	2868031	12.31
0.833	2980695	12.79
0.850	2900816	12.45
0.867	2713897	11.65
0.883	2692671	11.56
0.900	2838292	12.18
0.917	2922312	12.54
0.933	2832709	12.16
0.950	2741204	11.77
0.967	2786636	11.96
0.983	2795929	12.00
1.000	2805521	12.04
1.017	2879031	12.36
1.033	2935309	12.60
1.050	2920554	12.54
1.067	2860543	12.28
1.083	2880303	12.36
1.100	2934841	12.60
1.117	2839551	12.19
1.133	2814304	12.08
1.150	2897793	12.44
1.167	2812384	12.07
1.183	2788595	11.97
1.200	2880485	12.36
1.217	2936212	12.60
1.233	2897062	12.44
1.250	2813501	12.08
1.267	2848184	12.23
1.283	2950932	12.67
1.300	3037667	13.04
1.317	3018054	12.95
1.333	2939714	12.62
1.350	2959848	12.70
1.367	3010913	12.92
1.383	3043094	13.06
1.400	3019621	12.96
1.417	2945827	12.64
1.433	2965216	12.73
1.450	3017559	12.95
1.467	2992379	12.84
1.483	2971558	12.75
1.500	3001105	12.88
1.517	2961924	12.71
1.533	2951505	12.67
1.550	2949180	12.66
1.567	2888329	12.40
1.583	2827323	12.14
1.600	2825486	12.13
1.617	2816524	12.09
1.633	2858017	12.27
