[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_40 deg_001_12.lcd
Output Date	1/20/2026
Output Time	10:51:34 PM

[File Information]
Type	Data File
Generated	5/15/2024 8:55:32 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:15 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 8:56:10 PM
Sample Type	0:Unknown
Level	0
Sample Name	40 deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	E9
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_40 deg_001_12.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3333312	15.13
0.517	3342349	15.17
0.533	3238291	14.69
0.550	3144926	14.27
0.567	3069775	13.93
0.583	3018558	13.70
0.600	2848961	12.93
0.617	2720730	12.35
0.633	2749616	12.48
0.650	2838088	12.88
0.667	2896851	13.15
0.683	2963267	13.45
0.700	3008048	13.65
0.717	3066318	13.91
0.733	3119293	14.15
0.750	2965104	13.46
0.767	2786191	12.64
0.783	2777888	12.61
0.800	2733406	12.40
0.817	2725560	12.37
0.833	2867802	13.01
0.850	2906496	13.19
0.867	2702738	12.26
0.883	2565081	11.64
0.900	2597742	11.79
0.917	2664827	12.09
0.933	2683279	12.18
0.950	2671749	12.12
0.967	2604710	11.82
0.983	2596828	11.78
1.000	2655505	12.05
1.017	2662976	12.08
1.033	2619289	11.89
1.050	2569516	11.66
1.067	2555120	11.59
1.083	2573326	11.68
1.100	2719733	12.34
1.117	2840239	12.89
1.133	2740053	12.43
1.150	2602153	11.81
1.167	2581843	11.72
1.183	2532727	11.49
1.200	2515908	11.42
1.217	2636822	11.97
1.233	2772079	12.58
1.250	2803803	12.72
1.267	2812323	12.76
1.283	2865319	13.00
1.300	2880168	13.07
1.317	2888845	13.11
1.333	2823193	12.81
1.350	2727143	12.38
1.367	2749813	12.48
1.383	2880199	13.07
1.400	2926080	13.28
1.417	2922758	13.26
1.433	2905025	13.18
1.450	2785004	12.64
1.467	2640631	11.98
1.483	2654883	12.05
1.500	2756395	12.51
1.517	2784532	12.64
1.533	2761052	12.53
1.550	2724193	12.36
1.567	2688349	12.20
1.583	2635323	11.96
1.600	2557785	11.61
1.617	2577060	11.69
