[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_70 deg buffer_019_25.lcd
Output Date	1/20/2026
Output Time	10:51:34 PM

[File Information]
Type	Data File
Generated	5/16/2024 12:20:23 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:14 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/16/2024 12:21:01 AM
Sample Type	0:Unknown
Level	0
Sample Name	70 deg buffer
Sample ID	019
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	F11
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_70 deg buffer_019_25.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	4660928	21.80
0.517	4994085	23.35
0.533	5184227	24.24
0.550	5095875	23.83
0.567	4757126	22.24
0.583	4642668	21.71
0.600	4551056	21.28
0.617	4132314	19.32
0.633	3783938	17.69
0.650	3643725	17.04
0.667	3713113	17.36
0.683	3806678	17.80
0.700	3698273	17.29
0.717	3494405	16.34
0.733	3314434	15.50
0.750	3268390	15.28
0.767	3288031	15.38
0.783	3204570	14.98
0.800	3076928	14.39
0.817	3046374	14.25
0.833	3155156	14.75
0.850	3233052	15.12
0.867	3269069	15.29
0.883	3305381	15.46
0.900	3288894	15.38
0.917	3216214	15.04
0.933	3193935	14.94
0.950	3195645	14.94
0.967	3192738	14.93
0.983	3163548	14.79
1.000	3174823	14.85
1.017	3157072	14.76
1.033	3073975	14.37
1.050	3022013	14.13
1.067	3039189	14.21
1.083	3173743	14.84
1.100	3300338	15.43
1.117	3182719	14.88
1.133	2999136	14.02
1.150	2879797	13.47
1.167	3013569	14.09
1.183	3215266	15.03
1.200	3185393	14.90
1.217	3146537	14.71
1.233	3183889	14.89
1.250	3138348	14.68
1.267	2977794	13.92
1.283	2925096	13.68
1.300	3035129	14.19
1.317	3214958	15.03
1.333	3355914	15.69
1.350	3472863	16.24
1.367	3535507	16.53
1.383	3634542	17.00
1.400	3635988	17.00
1.417	3383874	15.82
1.433	3241207	15.16
1.450	3310776	15.48
1.467	3342283	15.63
1.483	3329907	15.57
1.500	3262102	15.25
1.517	3097639	14.48
1.533	3032438	14.18
1.550	3057547	14.30
1.567	3141617	14.69
1.583	3187383	14.90
1.600	3116398	14.57
1.617	3024923	14.14
1.633	2955417	13.82
