[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_70 deg_001_19.lcd
Output Date	1/20/2026
Output Time	10:51:33 PM

[File Information]
Type	Data File
Generated	5/15/2024 10:45:50 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:14 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 10:46:28 PM
Sample Type	0:Unknown
Level	0
Sample Name	70 deg
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	F10
Injection Volume	30
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_70 deg_001_19.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	5521546	27.40
0.517	5533720	27.46
0.533	5502889	27.31
0.550	5228718	25.95
0.567	5140335	25.51
0.583	5332158	26.46
0.600	5066389	25.15
0.617	4410347	21.89
0.633	4401039	21.84
0.650	5017188	24.90
0.667	5490445	27.25
0.683	5389869	26.75
0.700	4884490	24.24
0.717	4334889	21.51
0.733	3878227	19.25
0.750	3659784	18.16
0.767	3712931	18.43
0.783	3767368	18.70
0.800	3588557	17.81
0.817	3429090	17.02
0.833	3469024	17.22
0.850	3485471	17.30
0.867	3370869	16.73
0.883	3250381	16.13
0.900	3205452	15.91
0.917	3251462	16.14
0.933	3536712	17.55
0.950	3723491	18.48
0.967	3582233	17.78
0.983	3504527	17.39
1.000	3472172	17.23
1.017	3309341	16.42
1.033	3409235	16.92
1.050	3699211	18.36
1.067	3542678	17.58
1.083	3273149	16.25
1.100	3186974	15.82
1.117	3125722	15.51
1.133	3124015	15.50
1.150	3153098	15.65
1.167	3136375	15.57
1.183	3144158	15.60
1.200	3234961	16.06
1.217	3310538	16.43
1.233	3236438	16.06
1.250	3194176	15.85
1.267	3164262	15.70
1.283	3086023	15.32
1.300	3161967	15.69
1.317	3421421	16.98
1.333	3523599	17.49
1.350	3319352	16.47
1.367	3249093	16.13
1.383	3385278	16.80
1.400	3503078	17.39
1.417	3618157	17.96
1.433	3625020	17.99
1.450	3582130	17.78
1.467	3517352	17.46
1.483	3319241	16.47
1.500	3235902	16.06
1.517	3286378	16.31
1.533	3402561	16.89
1.550	3518689	17.46
1.567	3534640	17.54
1.583	3522877	17.48
1.600	3345885	16.61
1.617	3054604	15.16
