[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_none_001_01.lcd
Output Date	1/20/2026
Output Time	10:51:33 PM

[File Information]
Type	Data File
Generated	5/15/2024 6:01:29 PM
Generated by	System Administrator
Modified	1/20/2026 10:49:14 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/15/2024 6:02:48 PM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_none_001_01.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	3863542	50.80
0.517	4213154	55.40
0.533	4321812	56.83
0.550	4190795	55.11
0.567	4077348	53.61
0.583	4038533	53.10
0.600	4156981	54.66
0.617	4215658	55.43
0.633	4149953	54.57
0.650	4159079	54.69
0.667	4153771	54.62
0.683	4134712	54.37
0.700	4114432	54.10
0.717	4085774	53.72
0.733	4030148	52.99
0.750	3967724	52.17
0.767	4000524	52.60
0.783	4001527	52.62
0.800	3977426	52.30
0.817	3994298	52.52
0.833	3893464	51.20
0.850	3851410	50.64
0.867	3874486	50.95
0.883	3841530	50.51
0.900	3895103	51.22
0.917	4017033	52.82
0.933	4033189	53.03
0.950	3818360	50.21
0.967	3625364	47.67
0.983	3630081	47.73
1.000	3743900	49.23
1.017	3855243	50.69
1.033	3791042	49.85
1.050	3715302	48.85
1.067	3648226	47.97
1.083	3656899	48.08
1.100	3775246	49.64
1.117	3824684	50.29
1.133	3813411	50.14
1.150	3764521	49.50
1.167	3659415	48.12
1.183	3720885	48.93
1.200	3748004	49.28
1.217	3682085	48.42
1.233	3722882	48.95
1.250	3733015	49.09
1.267	3681325	48.41
1.283	3679674	48.38
1.300	3712460	48.82
1.317	3824936	50.29
1.333	3913457	51.46
1.350	3959684	52.07
1.367	3946764	51.90
1.383	3780926	49.72
1.400	3722328	48.95
1.417	3772550	49.61
1.433	3708050	48.76
1.450	3660912	48.14
1.467	3680100	48.39
1.483	3689913	48.52
1.500	3704715	48.71
1.517	3608692	47.45
1.533	3524333	46.34
1.550	3648600	47.98
1.567	3745083	49.24
1.583	3641737	47.89
1.600	3639078	47.85
