[Header]
Application Name	LabSolutions
Version	5.113
Data File Name	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_none_001_26.lcd
Output Date	1/20/2026
Output Time	10:51:32 PM

[File Information]
Type	Data File
Generated	5/16/2024 12:36:09 AM
Generated by	System Administrator
Modified	1/20/2026 10:49:14 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/16/2024 12:36:14 AM
Sample Type	2:Control
Level	0
Sample Name	none
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	0
Injection Count	0
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days)_none_001_26.lcd
Method File	C:\LabSolutions\Data\Max\BioShell_AB(M1-42)_MS_QC+Quant.lcm
Batch File	C:\LabSolutions\Data\Max\240510 WideTempSol t2(5days).lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr
Tuning File	C:\LabSolutions\Data\Max\Tuning 240115 no mz or resolution-max.lct

[File Description]


[Configuration]
Instrument Name	LCMSShimadzu
Instrument #	2
Line #	1
# of Detectors	2
Detector ID	Detector A	MS
Detector Name	Detector A	MS
# of Channels	2	1

[MS Chromatogram]
m/z	1-1MS(E+) TIC
Interval(sec)	1.000
# of Points	870
Start Time(min)	0.500
End Time(min)	14.983
R.Time(min)	Absolute Intensity	Relative Intensity
0.500	2807474	34.58
0.517	2871287	35.36
0.533	2814694	34.67
0.550	2741157	33.76
0.567	2797985	34.46
0.583	2841477	35.00
0.600	2806875	34.57
0.617	2769525	34.11
0.633	2770858	34.13
0.650	2845935	35.05
0.667	2870786	35.36
0.683	2809363	34.60
0.700	2772446	34.14
0.717	2814670	34.66
0.733	2884443	35.52
0.750	2814386	34.66
0.767	2767541	34.08
0.783	2799601	34.48
0.800	2807077	34.57
0.817	2793574	34.41
0.833	2714069	33.43
0.850	2728069	33.60
0.867	2767075	34.08
0.883	2770501	34.12
0.900	2980273	36.70
0.917	3303460	40.68
0.933	3296334	40.60
0.950	2971353	36.59
0.967	2766411	34.07
0.983	2743176	33.78
1.000	2747175	33.83
1.017	2661548	32.78
1.033	2661707	32.78
1.050	2631185	32.41
1.067	2688591	33.11
1.083	2799109	34.47
1.100	2782319	34.27
1.117	2731062	33.64
1.133	2762334	34.02
1.150	2736523	33.70
1.167	2854727	35.16
1.183	3009937	37.07
1.200	2929691	36.08
1.217	2705250	33.32
1.233	2629553	32.39
1.250	2689113	33.12
1.267	2810551	34.61
1.283	2909140	35.83
1.300	2825467	34.80
1.317	2789251	34.35
1.333	2841159	34.99
1.350	2827044	34.82
1.367	2890558	35.60
1.383	2872436	35.38
1.400	2766856	34.08
1.417	2731780	33.64
1.433	2848470	35.08
1.450	2858783	35.21
1.467	2735477	33.69
1.483	2663778	32.81
1.500	2667984	32.86
1.517	2706225	33.33
1.533	2662097	32.79
1.550	2689940	33.13
1.567	2756683	33.95
1.583	2790808	34.37
1.600	2816413	34.69
